#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7799.058822367206    All      0.7057885871154236        -0.13466109022415296       0.1801109768285799        -0.26572458420653455       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4292.566578670115    All      -1.4594042034342691       0.7614557544561862         -0.29289443407433235      0.710336619030056          
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5370.226625955262    All      1.7610581363784337        0.36938275436941836        0.11597068860122357       -0.4481392174822957        
Check         All|All|All                                All                  All      1.0074425200595882        0.9961774186014516         0.0031872313554711235     -0.003527182658774275      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7799.058822367206    All      -4.930774350588959e-05    1.6205648875341945e-05     6.514224481271918e-05     2.4246866423639758e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4292.566578670115    All      -0.0010058705350394171    0.00021106187487008061     -0.0019575374300682827    0.0003090390169349         
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5370.226625955262    All      0.0001576587525596965     -1.1437664836626262e-05    -0.002630914957971859     -0.00017248591747181353    
MWEBV         All|All|All                                All                  All      -0.7493454607679446       -4.022013029452154         0.06960292194527475       -1.0629094359536504        
Redshift      All|All|All                                All                  All      2.9814252016502314        -0.5896031336693142        9.101075997601443         -0.7570621901134031        
