#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7799.058822367206    All      0.5702126105238752        -0.13159487742728793      -0.07299094851697663      -0.23185903840325373      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4292.566578670115    All      -1.1957410920658322       0.7603751754135413        0.43296854420889486       0.6564928202071635        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5370.226625955262    All      1.5655322309416204        0.3827076222275849        -0.4640616854182045       -0.4059938304939184       
Check         All|All|All                                All                  All      0.9400037493996636        1.0114879202138383        -0.10408408972628624      0.018639951309991354      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7799.058822367206    All      -4.532024333908141e-05    1.7581119835760855e-05    3.8590459687568855e-05    2.2211158355713096e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4292.566578670115    All      -0.0012027753667089955    0.0003834705888987439     -0.0016631068311393456    0.0004424756741829476     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5370.226625955262    All      0.0003120595526705242     5.3601830488073016e-05    -0.002184598011467346     -0.0001816767588773543    
MWEBV         All|All|All                                All                  All      -0.7803489227615863       -4.019437170809859        -0.03684033188947611      -1.0567216200381535       
Redshift      All|All|All                                All                  All      2.3746422311520874        -1.465398328400802        6.582510644176592         -0.9570803261565786       
