#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4787.535056908329     All      1.7528524560929244        0.5538486904423934        0.637778694700236         -0.36209383859172595      
Zeropoint     AB|MEGACAMPSF|z           5516.887142273497     All      0.713803603961003         0.07334154841167617       -0.06329935791860833      -0.21144432168865673      
Zeropoint     AB|MEGACAMPSF|r           3911.8468178015037    All      -1.152386241676608        0.3337597951805549        -0.699153215024936        0.4528866600647384        
Zeropoint     AB|MEGACAMPSF|g           3061.625963551618     All      -0.3292804455958298       0.03857937242486287       0.13575465274200707       0.12588215161118815       
Check         All|All|All               All                   All      0.9849893727814891        0.9995294064594873        0.011080774498698737      0.005230651395543906      
Lambda        AB|MEGACAMPSF|i           4787.535056908329     All      -0.0003341827802473987    -0.0001415064631794759    -0.0016119978398318501    -9.175044621837361e-06    
Lambda        AB|MEGACAMPSF|z           5516.887142273497     All      -6.410252011050816e-05    -6.40832859336649e-06     1.1854660429632447e-05    1.9321915308143752e-05    
Lambda        AB|MEGACAMPSF|r           3911.8468178015037    All      -0.0011116451334658916    0.0002848724520052683     -0.0013830724426990668    0.0003931715507561524     
Lambda        AB|MEGACAMPSF|g           3061.625963551618     All      -0.000964676428715809     0.00011398515085561741    0.0003950854136355611     0.00036898641082719813    
MWEBV         All|All|All               All                   All      -0.3600322174928019       -2.1106051852648022       0.12320363779784942       -0.564721195242246        
Redshift      All|All|All               All                   All      3.4605836738158233        0.20580889122552293       1.9603096816029126        -0.972707607886222        
