#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4787.535056908329     All      1.8444574675922698        0.5455340874565451         0.5918961482557779         -0.39668847160413134       
Zeropoint     AB|MEGACAMPSF|z           5516.887142273497     All      0.7324123439539229        0.0742806395431117         -0.056086013556211345      -0.21687800920782152       
Zeropoint     AB|MEGACAMPSF|r           3911.8468178015037    All      -1.1674217502884838       0.33564728892319096        -0.6858761673349797        0.45899153234097156        
Zeropoint     AB|MEGACAMPSF|g           3061.625963551618     All      -0.4174134540789078       0.04334311767859589        0.15761228055754112        0.15711708605664065        
Check         All|All|All               All                   All      0.992034607178801         0.9988051336014436         0.0075462479221279355      0.002542137585659354       
Lambda        AB|MEGACAMPSF|i           4787.535056908329     All      -0.0002573456113472824    -9.813661981501046e-05     -0.0014577579677648223     -1.3193436498862782e-05    
Lambda        AB|MEGACAMPSF|z           5516.887142273497     All      -3.419783887415571e-05    -3.5143098473418953e-06    -1.1015340515347746e-05    9.503070806583446e-06      
Lambda        AB|MEGACAMPSF|r           3911.8468178015037    All      -0.0011868798857643174    0.0003601965872313027      -0.0010198929334152053     0.0004584205671393281      
Lambda        AB|MEGACAMPSF|g           3061.625963551618     All      -0.001104200178934909     0.00012935299576822743     0.0007198867741516563      0.00043393409210485784     
MWEBV         All|All|All               All                   All      -0.32309527587647224      -2.116445915019227         0.11834246226503503        -0.5788722220887443        
Redshift      All|All|All               All                   All      3.643875164281229         -0.06039982563113          0.9576452882722374         -1.1638689203319423        
