#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6133.883809472757     All      1.1139903226978551         -0.11001863291686398       -0.009672617983454507      -0.39913163005812785       
Zeropoint     AB|CNIa02|SDSS_g                      4694.175288423336     All      -0.5229194093720294        0.5608103808452558         0.35351539661264697        0.3687822148381817         
Zeropoint     AB|CNIa02|SDSS_i                      7438.4062126891995    All      0.4457527910770938         -0.070133621099977         0.16279067030473743        -0.16077657665971395       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5440.124721971108     All      0.7566863524252021         0.1729409623838496         -0.1317069873661917        -0.19602255612720548       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4348.438006780827     All      -0.7942101180694224        0.44351268956437373        -0.3737224162806062        0.38648952332356784        
Check         All|All|All                           All                   All      0.9992999387586993         0.9971117787766381         0.0012040452871320273      -0.0006590246832977598     
Lambda        AB|CNIa02|SDSS_r                      6133.883809472757     All      -0.00012324314623834125    -1.9937502310398895e-05    -0.00039757378275026995    1.5908154948259082e-05     
Lambda        AB|CNIa02|SDSS_g                      4694.175288423336     All      -8.407982917461488e-05     -4.3843603570346636e-05    -0.0006387644694087897     -1.5398862118806503e-05    
Lambda        AB|CNIa02|SDSS_i                      7438.4062126891995    All      -8.681541720347918e-05     -1.3294959173727247e-07    -0.00017897058191776138    2.024869638078456e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5440.124721971108     All      4.678145789765154e-05      -4.813410600175503e-05     -0.0008723320882981728     -6.984529641571865e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4348.438006780827     All      -0.0002956981359339938     4.773004249444338e-05      -0.0008426042474821399     7.42642985418189e-05       
MWEBV         All|All|All                           All                   All      -0.8945102660379378        -4.072502114994503         0.023822335294959394       -1.0341134166192691        
Redshift      All|All|All                           All                   All      4.439064079631853          0.369790157016725          3.9130003640167836         -1.1508771572458725        
