#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6133.883809472757     All      1.1032767372738093         -0.10570589534131258       -0.007308402049233109      -0.3941315582071227       
Zeropoint     AB|CNIa02|SDSS_g                      4694.175288423336     All      -0.4781066128947058        0.5234873518453753         0.4338631235214496         0.345613424320039         
Zeropoint     AB|CNIa02|SDSS_i                      7438.4062126891995    All      0.43218841183879175        -0.06888648375089623       0.11975293191656133        -0.1578725550218629       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5440.124721971108     All      0.8042122174231795         0.17392683558163924        -0.14586412328098097       -0.21181393053128164      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4348.438006780827     All      -0.8591190939898853        0.4735367138910096         -0.3990518142566679        0.41628199000903304       
Check         All|All|All                           All                   All      1.0024516596511892         0.9963585222258153         0.0013917158511289607      -0.0019226294311951997    
Lambda        AB|CNIa02|SDSS_r                      6133.883809472757     All      -7.696354578031867e-05     -2.0501954671056037e-05    -0.0003149843976111147     4.335090761087919e-06     
Lambda        AB|CNIa02|SDSS_g                      4694.175288423336     All      5.234734420391982e-05      -8.800398007976511e-05     -0.0006797303857621722     -7.605028896843732e-05    
Lambda        AB|CNIa02|SDSS_i                      7438.4062126891995    All      -6.076480955213496e-05     -1.1057195924272606e-07    -0.00012665858272879646    1.410488982379385e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5440.124721971108     All      -3.7023919190850104e-05    -2.6659146272156544e-05    -0.0008843414743621291     -3.608795083678115e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4348.438006780827     All      -0.000385318379317224      6.170161920357288e-05      -0.0009035938309251731     0.00010528587742151406    
MWEBV         All|All|All                           All                   All      -0.8914035832851992        -4.073748855409853         0.026979464361476246       -1.0353905815984144       
Redshift      All|All|All                           All                   All      4.495925739607486          0.3843595078024453         4.150583282708797          -1.1540509192423243       
