#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7327.922770574571    All      0.16818325602416156       0.009580562499778011      0.2071341523843362        -0.0424186692663614        
Zeropoint     AB|SDSS|SDSS_g            3889.635354207506    All      -1.007829813970238        0.6639202169933967        0.7478973246610066        0.5779192066586947         
Zeropoint     AB|SDSS|SDSS_i            6163.529481991391    All      1.2990536571714804        0.04312833441701969       -0.1677877372953107       -0.41658379243124377       
Zeropoint     AB|SDSS|SDSS_r            5082.590627317582    All      0.5390610284135254        0.2829094986111613        -0.7815952562785          -0.11831598694218848       
Check         All|All|All               All                  All      0.9984681276389293        0.9995386125213557        0.005648483471532018      0.0006007580189010264      
Lambda        AB|SDSS|SDSS_z            7327.922770574571    All      -1.280153668277514e-05    1.411350505738489e-06     1.6164086490174743e-05    5.350933888491065e-06      
Lambda        AB|SDSS|SDSS_g            3889.635354207506    All      -0.0013389897356561324    0.000615575975486468      -0.0008654653782656027    0.0005980446105277567      
Lambda        AB|SDSS|SDSS_i            6163.529481991391    All      6.881324871959118e-06     -2.508725542679968e-05    -0.0007360989212078601    -4.326193241180314e-05     
Lambda        AB|SDSS|SDSS_r            5082.590627317582    All      3.1137720519828246e-05    -4.419812891221866e-05    -0.0019480085017020063    -0.00011147003718736866    
MWEBV         All|All|All               All                  All      -0.5548387325551092       -3.1700736024840026       0.058150003073076384      -0.8492730682436097        
Redshift      All|All|All               All                  All      5.969180280706049         0.6699052537145533        7.026291417018893         -1.4125971019087649        
