#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7327.922770574571    All      0.12100796292309801        0.010173910185606871       0.17588467253005016       -0.028253372182695205     
Zeropoint     AB|SDSS|SDSS_g            3889.635354207506    All      -1.053296205107256         0.5699596350554614         0.020864737090923718      0.5296789280599916        
Zeropoint     AB|SDSS|SDSS_i            6163.529481991391    All      1.139943899751577          0.07756977377297858        0.20417532901128185       -0.33693879671141785      
Zeropoint     AB|SDSS|SDSS_r            5082.590627317582    All      0.7906420885867832         0.3412683006507322         -0.39747086577866075      -0.1641131259113119       
Check         All|All|All               All                  All      0.998297746154202          0.9989716196647791         0.003453872853594997      0.00037363325456665764    
Lambda        AB|SDSS|SDSS_z            7327.922770574571    All      -2.294632905046704e-05     -2.2953676489419778e-06    -3.97882023951116e-05     4.951132792636734e-06     
Lambda        AB|SDSS|SDSS_g            3889.635354207506    All      -0.0011231057253545099     0.0004538451604233698      -0.0011841218427369447    0.00046082286427456625    
Lambda        AB|SDSS|SDSS_i            6163.529481991391    All      -0.00018004612610365438    -3.052116799392978e-05     -0.0004158675519097529    3.0146939250191677e-05    
Lambda        AB|SDSS|SDSS_r            5082.590627317582    All      -9.256791010471227e-05     -3.553081563092756e-05     -0.0016129429803618815    -5.339937909960688e-05    
MWEBV         All|All|All               All                  All      -0.564853044711815         -3.1635332251006787        0.09143985777149322       -0.8423950879068955       
Redshift      All|All|All               All                  All      5.924911184518463          0.8418977236354763         4.391711630316446         -1.4597227907262653       
