#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6305.227074334585    All      1.3706492734456057        -0.20173549521356193      0.00792132129192499        -0.5118239568867016        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5333.847127833128    All      0.5796371907107198        0.47240421097392016       0.5022108674696159         -0.012517944916437219      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4410.297597990157    All      -1.2575792115372457       0.8141511621591491        -0.41361044453363327       0.6563732061222434         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7812.319615871394    All      0.3058999877838925        -0.0867440548814713       -0.096548349422391         -0.13220559170561283       
Check         All|All|All                       All                  All      0.9986072404029721        0.998075823038036         -2.6605194483400596e-05    -0.00017428738650823727    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6305.227074334585    All      -0.0002283128088246024    1.4523680869600897e-05    -0.0003016191151170628     6.563995795542856e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5333.847127833128    All      0.00023467800274493567    0.00012038112191531936    -0.000735525107477746      -7.005336174399594e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4410.297597990157    All      -0.0008635790704039545    0.0002968621649800991     -0.001668771110179497      0.0003035242974884243      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7812.319615871394    All      9.77474274779916e-06      1.0363613056118564e-05    0.00010849404559437602     5.033405392426358e-06      
MWEBV         All|All|All                       All                  All      -0.8517704487276014       -4.072718602171754        -0.01660993716399583       -1.0499100048324497        
Redshift      All|All|All                       All                  All      4.138370799598337         0.2619198678324608        1.3592145128467534         -1.2020320988618474        
