#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6305.227074334585    All      1.3017275715804422        -0.19317185433740391      -0.0375769249883251       -0.48861480932939627       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5333.847127833128    All      0.4986889457156868        0.42334456599988357       0.03956607147554969       -0.022776491180342973      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4410.297597990157    All      -1.1096427095334707       0.8332150804142735        -0.05919207439808449      0.6302112298876894         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7812.319615871394    All      0.3079699646131029        -0.06590089366342866      0.05175020537567798       -0.11947266454073735       
Check         All|All|All                       All                  All      0.9987437723757613        0.9974868984133245        -0.00545272253518192      -0.000652735162787188      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6305.227074334585    All      1.1305763911342638e-05    -4.590451899106237e-06    -9.356776204584173e-05    -9.353419938348272e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5333.847127833128    All      0.0002108108484472867     0.00026295801454261807    -0.0005021946515155946    -5.424593212477224e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4410.297597990157    All      -0.0011056805879287334    0.0005788875840124187     -0.0015240561110058581    0.0004807076497502767      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7812.319615871394    All      3.321032559453082e-05     6.341970553549468e-06     0.00013087242095648772    -2.9116721074731384e-06    
MWEBV         All|All|All                       All                  All      -0.8386273336886778       -4.0765798817240295       -0.009028170977032346     -1.0551105561756369        
Redshift      All|All|All                       All                  All      3.5466349574800633        -1.125992120470265        0.9667553597815015        -1.4788865125929196        
