#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3553.3637277173807    All      -0.14526248426690874       0.07070461558029706        -0.15690061908397548       0.06334583551553784        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4332.34775214601      All      -0.8836292885488402        0.6784150771963482         0.24656312412394174        0.5198122194625956         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7871.3362597173855    All      0.3392419785295752         -0.051292073829678486      0.12435974856886335        -0.12166018462713987       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5419.994966899245     All      0.7020563390878374         0.35367183366066257        -0.3807384184283774        -0.13047090187357088       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6477.409009858053     All      0.9841068374189182         -0.053069295160934615      0.16329068976775837        -0.3305554749451694        
Check         All|All|All                               All                   All      0.9965133822205822         0.9984301574466947         -0.003425475051789445      0.000471493532253231       
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3553.3637277173807    All      -0.0001349237501356803     6.56186693213078e-05       -0.00014712646955720296    5.875768505786688e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4332.34775214601      All      -0.00037328281524515454    7.845685122905748e-05      -0.0010080020508018142     0.00010216396922291971     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7871.3362597173855    All      1.9467073202583564e-05     2.9478642732152155e-06     8.429280125406769e-05      -1.6192492369905785e-06    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5419.994966899245     All      -8.034935961159458e-06     -8.025191998775698e-05     -0.0018474275170657893     -0.00010596565272462888    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6477.409009858053     All      -0.000264047742864915      -1.1969112989493294e-06    -0.0002735216107497187     7.341315012809584e-05      
MWEBV         All|All|All                               All                   All      -0.9488563186820906        -4.001029651823806         -0.06396178930308033       -0.9970475890150612        
Redshift      All|All|All                               All                   All      4.190764926447573          -0.18038689354682447       3.3191454853381694         -1.275709735668752         
