#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3553.3637277173807    All      -0.17080223612381779       0.08080144257434085        -0.20678584753860418       0.07272769302455045        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4332.34775214601      All      -0.8877290698990054        0.6775822515253438         0.24505083607467282        0.5208088879369965         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7871.3362597173855    All      0.3551445154604619         -0.05642194294050995       0.13660454460775462        -0.12796470221163175       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5419.994966899245     All      0.6924802098949415         0.35596075967090357        -0.3938585887847512        -0.1271915559894296        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6477.409009858053     All      1.0072059912830003         -0.05946814811528256       0.21560995024290097        -0.33782917792019723       
Check         All|All|All                               All                   All      0.9962994106155808         0.9984543627147957         -0.0033791053980269936     0.0005511448402883423      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3553.3637277173807    All      -0.0001782437011365512     8.85500839105977e-05       -0.00014555446100265318    8.040808595758483e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4332.34775214601      All      -0.000412094342461039      0.00011217836925194325     -0.0010146115260843249     0.00012549541779785986     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7871.3362597173855    All      2.943292343318683e-05      3.492421579424086e-06      0.00011527300754572573     -3.30556997394082e-06      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5419.994966899245     All      -1.3763684069722712e-05    -6.1041469544532e-05       -0.0019415155898915486     -0.00010204085384037506    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6477.409009858053     All      -0.00027077957684778077    -5.5253529596356065e-06    -0.0003684096674181352     6.996159591265818e-05      
MWEBV         All|All|All                               All                   All      -0.9323052342975426        -4.0114646064955295        -0.06451645955350971       -1.0058625821357712        
Redshift      All|All|All                               All                   All      4.235430518507236          -0.5689023428242734        2.7565259643870577         -1.4419181772672582        
