#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7848.817174703998    All      0.38475604941549174       -0.0875238383515331       0.13408176708671338        -0.1478536435427183        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5337.140731977061    All      0.4679273178390492        0.4436219886253312        -0.030651819895188837      -0.009284895289693451      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4352.656299954255    All      -1.168327312019939        0.8111628250019542        -0.002790173012656716      0.6446605483124298         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6331.595604990125    All      1.3135827289549307        -0.16890019371906817      -0.09836298614536165       -0.48728294846120956       
Check         All|All|All                       All                  All      0.9979387841895324        0.9983607815566842        0.002276788033506172       0.00023906101880849517     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7848.817174703998    All      -8.08213240132302e-06     6.3232461995341985e-06    5.330062694298163e-05      7.07086791271847e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5337.140731977061    All      0.00012816173661257585    8.660749226633648e-05     -0.0010041106973210587     -5.8344433185415126e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4352.656299954255    All      -0.0006989081067552475    0.00028336546789661685    -0.0008820072074917783     0.0002805988883470654      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6331.595604990125    All      -0.0002702740327954796    2.6701423498119908e-05    -0.00022544513817023587    8.667409523266357e-05      
MWEBV         All|All|All                       All                  All      -0.8327026470197323       -4.041390298214154        0.033961517142255815       -1.0436595841517695        
Redshift      All|All|All                       All                  All      3.8480190144110615        -0.7653129372616974       1.1335861703615002         -1.4521272463626167        
