#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7848.817174703998    All      0.3574491507266464         -0.07795131644243725      0.13119823999521701       -0.13596948152760227      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5337.140731977061    All      0.5185899266534146         0.4546200150391755        0.1116387351050874        -0.015855180750762938     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4352.656299954255    All      -1.1545211571864655        0.780431934595871         -0.14483668436602606      0.6238144840469678        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6331.595604990125    All      1.276763680977196          -0.15890014886581483      -0.09663006913167366      -0.4719550974964333       
Check         All|All|All                       All                  All      0.9982816011707915         0.9982004843267944        0.0013702216026046932     3.472427216932861e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7848.817174703998    All      3.9949556939305665e-06     4.559978769604287e-06     8.787599489936486e-05     4.105548656966355e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5337.140731977061    All      6.920071799495825e-05      8.818279301720455e-05     -0.0010104656792223024    -3.890935603622448e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4352.656299954255    All      -0.0005435006556836364     0.00020637358516754117    -0.0006385604168199862    0.0002157626917742148     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6331.595604990125    All      -0.00038353650861918363    1.4663111669683283e-05    -0.0006778247072834687    9.945851315668786e-05     
MWEBV         All|All|All                       All                  All      -0.8390305948778956        -4.038184755931518        0.0175186333445864        -1.041287983154858        
Redshift      All|All|All                       All                  All      3.8368632887487584         -0.40590382039304984      -0.7592604232161413       -1.4158911358704949       
