#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7270.694139587864    All      0.7096416723088413         -0.09399471307975915      1.1399355664323343        -0.21090072077764518       
Zeropoint     AB|PS|PS_g                4726.868968541306    All      -1.0984956081780424        1.192850437200299         0.4439336779299889        0.7661775111578991         
Zeropoint     AB|PS|PS_r                6002.802702213974    All      1.1057122101039765         -0.026607247764509623     -1.6577287139972396       -0.44281051846453023       
Zeropoint     AB|PS|PS_z                8355.80166538082     All      0.28235378045027215        -0.0748173269136565       0.061935338358112824      -0.11357849055663427       
Check         All|All|All               All                  All      0.9992120546850471         0.9974311494423738        -0.011924131276803585     -0.0011122186409106005     
Lambda        AB|PS|PS_i                7270.694139587864    All      -9.18283033402439e-05      -5.783241054836007e-05    -0.0010538728338503139    -3.59559235979183e-05      
Lambda        AB|PS|PS_g                4726.868968541306    All      -0.00022404967108001373    1.338898963642929e-05     -0.0004966579891551691    5.5178018306900605e-05     
Lambda        AB|PS|PS_r                6002.802702213974    All      -0.0001462026319702821     -6.15702845831457e-05     -0.001084009245531584     -2.0806814088172837e-05    
Lambda        AB|PS|PS_z                8355.80166538082     All      0.00031463932074650696     -8.408579831447002e-05    9.648693233144688e-05     -0.0001255721203034426     
MWEBV         All|All|All               All                  All      -0.6870969570638161        -3.9851980517823016       0.16516437819651933       -1.0669295032265675        
Redshift      All|All|All               All                  All      5.403186354127975          1.4807479471133256        15.470027132328681        -0.5873109739041107        
