#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7937.124720009822     All      0.1866239424183591        0.04248292747970339       0.21609229572904232        -0.037308263981686296     
Zeropoint     AB|SDSS|SDSS_i            6675.930375585468     All      1.0193802453757705        -0.48329647044624835      0.10442257406418909        -0.4848113430538193       
Zeropoint     AB|SDSS|SDSS_r            5505.128393514649     All      0.7661677114615889        0.8788578427154192        -0.1934530058263384        0.028073963992059255      
Zeropoint     AB|SDSS|SDSS_u            3203.9279947011987    All      0.020369154226735256      0.07824302584733545       0.24580371296886172        0.02982051475483201       
Zeropoint     AB|SDSS|SDSS_g            4212.9975831178       All      -0.9960125597935525       0.47687643232130483       -0.3737224582745613        0.46309088447271746       
Check         All|All|All               All                   All      0.9965284936889016        0.9931637579175145        -0.0008568813388065699     -0.0011342438158969403    
Lambda        AB|SDSS|SDSS_z            7937.124720009822     All      2.4736730865604014e-05    2.279896859308238e-05     7.21307413460018e-05       2.5876707791142057e-06    
Lambda        AB|SDSS|SDSS_i            6675.930375585468     All      -0.0005165280888226425    0.00013050558246574474    -0.0006861288312149021     0.00018014137505275104    
Lambda        AB|SDSS|SDSS_r            5505.128393514649     All      1.3626443572504954e-05    0.0003795832126766627     -0.0022422222657527075     1.914407775115205e-05     
Lambda        AB|SDSS|SDSS_u            3203.9279947011987    All      -1.602346748551687e-05    3.9011507904712316e-05    0.00010960448469559577     2.2817846838282022e-05    
Lambda        AB|SDSS|SDSS_g            4212.9975831178       All      -0.0008979987623198973    0.0006030334207129745     -0.00045142133940813894    0.00046879070343125635    
MWEBV         All|All|All               All                   All      -0.6280590727773743       -3.5225677222989304       0.23790784883680471        -0.9322199590328709       
Redshift      All|All|All               All                   All      2.817555348021468         -2.4372130770913714       0.4668031610012724         -1.69081967167937         
