#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7937.124720009822     All      0.21727508856367259        0.05352252929959889       0.27493587684815585       -0.04107047040256559      
Zeropoint     AB|SDSS|SDSS_i            6675.930375585468     All      0.9691260139465631         -0.5852298044278115       -0.08108584836023582      -0.50992331583053         
Zeropoint     AB|SDSS|SDSS_r            5505.128393514649     All      0.8267491157720649         0.9935654027705354        0.11670136401127186       0.0595453986540765        
Zeropoint     AB|SDSS|SDSS_u            3203.9279947011987    All      0.001652460174459601       0.03281033787079224       0.13931548833477436       0.016366156220910987      
Zeropoint     AB|SDSS|SDSS_g            4212.9975831178       All      -1.0170723755378897        0.5083305437352692        -0.4563099956391099       0.4765108957233227        
Check         All|All|All               All                   All      0.9977303029188708         1.0029990092483843        -0.006443114805143646     0.0014286643652146047     
Lambda        AB|SDSS|SDSS_z            7937.124720009822     All      1.6937998466303124e-05     9.186214662462129e-06     5.6732108365324694e-05    6.682424172146267e-09     
Lambda        AB|SDSS|SDSS_i            6675.930375585468     All      -0.0004575711530077077     0.00025856525297628796    -0.0004477329558549706    0.00021328892216021652    
Lambda        AB|SDSS|SDSS_r            5505.128393514649     All      6.295262021700733e-05      0.0004619437417072929     -0.0020670174401526925    3.772303980109664e-05     
Lambda        AB|SDSS|SDSS_u            3203.9279947011987    All      -1.6802171549980255e-05    7.125389269317437e-06     7.33821986801208e-05      1.1068704247060014e-05    
Lambda        AB|SDSS|SDSS_g            4212.9975831178       All      -0.0009059562746510145     0.0006106691384674872     -0.0005644937222821448    0.00046882403034718175    
MWEBV         All|All|All               All                   All      -0.6049494209895454        -3.497965676116621        0.29939931847854123       -0.9289897552102657       
Redshift      All|All|All               All                   All      2.6387512956180115         -2.790748497112361        0.34610270604461335       -1.753121733551225        
