#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.069716327296    All      3.131508281026396         0.08252943055548911       0.2947657777281495        -0.9799986771733389        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.414232416292    All      -2.13161627654927         0.9186041006035595        -0.2938249587243378       0.9804450676897704         
Check         All|All|All                           All                  All      0.9998920044771262        1.0011335311590486        0.0009408190038117104     0.0004463905164314719      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.069716327296    All      0.000535694900706381      -6.420002705917783e-05    -0.0002797360605490647    -0.00020788884953119895    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.414232416292    All      -0.0007143920677993457    3.525196782943319e-05     -0.0022864727629526363    0.0001421489469395009      
MWEBV         All|All|All                           All                  All      -0.9531771604274746       -4.022269526400368        0.01950751058035606       -0.9988338231346532        
Redshift      All|All|All                           All                  All      0.48005212125542307       0.018209601441832035      -1.3039329964426856       -0.20862584375447524       
