#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.069716327296    All      3.1278250933496796        0.10635222015302759        0.4279144063479956         -0.9650972636895689        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.414232416292    All      -2.1287044307871215       0.8947572306897023         -0.42932878929062834       0.9656819600469081         
Check         All|All|All                           All                  All      0.9991206625625579        1.0011094508427298         -0.0014143829426327414     0.0005846963573391539      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.069716327296    All      0.00044871682362953425    -4.726214525784753e-05     -0.00011591337259900089    -0.00016672934883825568    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.414232416292    All      -0.0006194642611928234    -1.5054542494447314e-05    -0.0023103326638043795     9.377659405771203e-05      
MWEBV         All|All|All                           All                  All      -0.9550683995738178       -4.021313617552558         0.01894819132688963        -0.9979313732139922        
Redshift      All|All|All                           All                  All      0.576178410233732         0.1613699451390893         -1.9837937220477857        -0.22364436645445906       
