#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6072.342703754081    All      1.0887800340578562        0.015092901194480035       -0.4453501279404273        -0.3696091532218941        
Zeropoint     AB|PS|PS_z                8452.600192586306    All      0.4439666868328711        -0.13603294412543043       -0.12420286209173133       -0.1944675645162439        
Zeropoint     AB|PS|PS_g                4781.627802315905    All      -1.0963827678610798       1.2644012797225823         0.2965055024969793         0.782216710562133          
Zeropoint     AB|PS|PS_i                7354.922142197063    All      0.5457416526983196        -0.14984660532588734       0.14874371962093572        -0.21993823076095728       
Check         All|All|All               All                  All      0.9821056057279671        0.9936146314657446         -0.12430376791424361       -0.0017982379369621826     
Lambda        AB|PS|PS_r                6072.342703754081    All      -8.186390764443801e-05    -4.783813182309685e-05     -0.0009403775766551313     -3.088141764834262e-05     
Lambda        AB|PS|PS_z                8452.600192586306    All      0.0005267692909958876     -0.00012334590301356395    -0.00012280794524209188    -0.00021724426140313298    
Lambda        AB|PS|PS_g                4781.627802315905    All      -0.000533032804997689     0.00020284719875634808     -0.0009949098921742951     0.00019530206792383017     
Lambda        AB|PS|PS_i                7354.922142197063    All      -3.810301770858709e-05    -5.3988415653637023e-05    -0.001093664919425926      -5.3979639057459877e-05    
MWEBV         All|All|All               All                  All      -0.6870182923057682       -4.0635782755733985        -0.051206661178033325      -1.1021417901788344        
Redshift      All|All|All               All                  All      5.097429001011932         0.7857701882963752         7.018526401378064          -1.0912445262953623        
