#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7006.572985803877     All      0.25646170009570374        0.03993909551898156        0.5427285121944347         -0.04630905485540216       
Zeropoint     AB|SDSS|SDSS_r            4859.704898946568     All      0.6782122144485269         0.4120501802562515         -0.20599123616402704       -0.09589017379372869       
Zeropoint     AB|SDSS|SDSS_i            5893.241579883703     All      1.2794978423603114         0.1561262351806647         0.5163851593260493         -0.3428751922970612        
Zeropoint     AB|SDSS|SDSS_g            3719.0640309219775    All      -1.2144141566400486        0.3913741192020481         -0.8416165587025959        0.4855005886970166         
Check         All|All|All               All                   All      0.9997576002644932         0.9994896301579459         0.011505876653861158       0.000426167750824602       
Lambda        AB|SDSS|SDSS_z            7006.572985803877     All      -7.170383785684944e-05     -1.1863073538930824e-05    -0.00018113863586442428    1.140872026204967e-05      
Lambda        AB|SDSS|SDSS_r            4859.704898946568     All      -0.0002544097642439895     -8.662660683015377e-05     -0.0017219801778129153     -2.2191572295287865e-05    
Lambda        AB|SDSS|SDSS_i            5893.241579883703     All      -0.00024452083986270263    -3.8240771885553284e-05    -0.00022226963177784888    5.727333173406647e-05      
Lambda        AB|SDSS|SDSS_g            3719.0640309219775    All      -0.0015125961068709762     0.0006052915309580152      -0.00032077963577722583    0.0006755507582174305      
MWEBV         All|All|All               All                   All      -0.5587106091226746        -2.952548304099345         0.09145279430071707        -0.775670573992662         
Redshift      All|All|All               All                   All      4.899850695104396          -0.21770792853352816       5.712930524952564          -1.4120153556089325        
