#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7006.572985803877     All      0.18201550488748625        0.026259748998924692       0.3216878679527645        -0.03637932181727454       
Zeropoint     AB|SDSS|SDSS_r            4859.704898946568     All      0.628481056734892          0.37940885114320366        -0.6294957133851834       -0.10922251411252716       
Zeropoint     AB|SDSS|SDSS_i            5893.241579883703     All      1.200249149768378          0.14183802771725595        0.1420564326096097        -0.33841999699791714       
Zeropoint     AB|SDSS|SDSS_g            3719.0640309219775    All      -1.0129920998199156        0.4514020453555645         0.1693817100238978        0.4845600779963368         
Check         All|All|All               All                   All      0.9977536115708406         0.9989086732149488         0.0036302972010885948     0.0005382450686179929      
Lambda        AB|SDSS|SDSS_z            7006.572985803877     All      -7.778751114412473e-05     -1.1905039310832823e-05    -0.0001474683031632374    1.4879255472289375e-05     
Lambda        AB|SDSS|SDSS_r            4859.704898946568     All      -0.00022771779451614656    -7.674347576883804e-05     -0.001486357254420719     -1.7151995149293156e-05    
Lambda        AB|SDSS|SDSS_i            5893.241579883703     All      -0.00020984005719311508    -2.3180346300698554e-05    4.5669392397059804e-05    6.283922399049306e-05      
Lambda        AB|SDSS|SDSS_g            3719.0640309219775    All      -0.0015983611342960755     0.0006017496620711103      -0.0007584239842360257    0.000682803488770961       
MWEBV         All|All|All               All                   All      -0.5539904436026455        -2.951028930422872         0.10876481606897437       -0.7759406211787548        
Redshift      All|All|All               All                   All      4.959465301299159          -0.3241849694063603        5.430442580549942         -1.4787230088502203        
