#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4482.367164478829    All      -2.4730474698114495        1.0336240761539273         -0.4097143753084101       1.1239546177681188         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5367.639111421272    All      3.470007359794654          -0.03154369703075588       0.40803141716026814       -1.122361808688747         
Check         All|All|All                            All                  All      0.9969598899832046         1.0020803791231714         -0.0016829581481419553    0.0015928090793717598      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4482.367164478829    All      -0.00016555842351946104    -0.00014488820489145311    -0.0020695607092032922    -8.562201906607268e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5367.639111421272    All      0.0006862655946488363      1.2615135979177147e-06     0.000203689326582796      -0.00021403864602901484    
MWEBV         All|All|All                            All                  All      -0.1401482588978893        -2.438517463847134         -0.009644042109180429     -0.749084833458698         
Redshift      All|All|All                            All                  All      -1.969426538229625         0.10641775249773389        -2.687601581996047        0.5562354638416614         
