#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4482.367164478829    All      -2.4246310147271477      1.0418786238341582         -0.11157606897809202      1.1241771065509145         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5367.639111421272    All      3.422334518472951        -0.03981410325728518       0.11042533389713505       -1.122807931917371         
Check         All|All|All                            All                  All      0.9977035037458031       1.002064520576873          -0.0011507350809569772    0.0013691746335435795      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4482.367164478829    All      -8.9032262954054e-05     -0.00017748049266325943    -0.0019161156047586602    -0.00011431793731633289    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5367.639111421272    All      0.0005615788110892142    2.2020631948183608e-05     0.00046840628937896566    -0.00015484902850036232    
MWEBV         All|All|All                            All                  All      -0.13906494469086628     -2.438741940169642         -0.011506783817760713     -0.7495939494663872        
Redshift      All|All|All                            All                  All      -1.7226139536909943      0.2995814139245212         -2.5713664045456386       0.5439472867077404         
