#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5938.450455451534    All      1.3193540856051895         0.07407115002715514        -1.8693645957258087       -0.48905077693565807       
Zeropoint     AB|PS|PS_z                8266.224406666275    All      0.15612136892046566        -0.04088349703170735       0.19797017866374222       -0.05533646627857991       
Zeropoint     AB|PS|PS_i                7192.749631561234    All      0.8036202137938687         -0.16075872761138754       1.5509400289188235        -0.24491861805973208       
Zeropoint     AB|PS|PS_g                4676.195199409247    All      -1.2815664674846807        1.1304824716959594         0.11676345160692714       0.7908943101142637         
Check         All|All|All               All                  All      0.997529200834843          1.0029113970800196         -0.003690936536315803     0.0015884488402936325      
Lambda        AB|PS|PS_r                5938.450455451534    All      -0.0003828937857376861     8.545601886967569e-06      -0.0010053738346715215    8.263946979630463e-05      
Lambda        AB|PS|PS_z                8266.224406666275    All      0.0001789103240722693      -4.7074449443873235e-05    0.0002203543509003482     -6.377727278266933e-05     
Lambda        AB|PS|PS_i                7192.749631561234    All      -0.0004929327951851126     9.73716196679134e-05       -0.0014716702515963182    0.000126607684164277       
Lambda        AB|PS|PS_g                4676.195199409247    All      -0.00027565921294133474    -5.796326158301877e-05     -0.0021433858402551474    -2.4738732494019297e-05    
MWEBV         All|All|All               All                  All      -0.7300229157075182        -3.9236459852636685        0.1907764637501197        -1.0317546234600599        
Redshift      All|All|All               All                  All      9.417574006936428          -0.25358079659243415       20.77087968181681         -2.2233043280521043        
