#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5938.450455451534    All      1.271610821470253          0.09192770582551191       -1.9077044042699067       -0.4693936869803643       
Zeropoint     AB|PS|PS_z                8266.224406666275    All      0.19147358981017729        -0.059353812620344115     0.14845876833892874       -0.07507770396354664      
Zeropoint     AB|PS|PS_i                7192.749631561234    All      0.7332618110148681         -0.16752813654914434      1.2978413279913672        -0.2355002233319854       
Zeropoint     AB|PS|PS_g                4676.195199409247    All      -1.1973655824942055        1.132576630704385         0.44479482815094284       0.7787879819724006        
Check         All|All|All               All                  All      0.9989806398010928         0.9976223873604084        -0.016609479788668002     -0.0011836323034957186    
Lambda        AB|PS|PS_r                5938.450455451534    All      -0.0003165522204435006     3.558396614534188e-05     -0.001307995697724641     5.6332500325917465e-05    
Lambda        AB|PS|PS_z                8266.224406666275    All      0.0001962539283202562      -5.784560320425271e-05    0.00018794695104740845    -7.438136782769184e-05    
Lambda        AB|PS|PS_i                7192.749631561234    All      -0.00041670272279564053    8.108261924622675e-05     -0.0012132423944520385    0.00010800362671072898    
Lambda        AB|PS|PS_g                4676.195199409247    All      -0.0003170900701901044     4.8226125850643954e-05    -0.0016901020043259935    4.357401350100562e-05     
MWEBV         All|All|All               All                  All      -0.7124013678967103        -3.933927024739692        0.18901723723455605       -1.0409219203067908       
Redshift      All|All|All               All                  All      8.393838711917557          -0.29151005483454284      20.5398771736636          -1.9125034508013636       
