#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7332.811514048214     All      0.9115102049328625         -0.46506945192987814       0.23686405811664812        -0.4378271273292378       
Zeropoint     AB|PS|PS_r                6054.087811463002     All      0.894840472835567          0.34432522326550696        -0.5461228809865659        -0.20369188412547867      
Zeropoint     AB|PS|PS_z                8427.189685699099     All      0.28053168227788483        -0.07552133566424146       0.12498646436323035        -0.11040060987764291      
Zeropoint     AB|PS|PS_g                4767.2531030003765    All      -1.0696506011881737        1.22338241823865           0.20394628223150413        0.7560174788575048        
Check         All|All|All               All                   All      1.0172317588581405         1.0271168539100373         0.01967392372481669        0.004097857525145465      
Lambda        AB|PS|PS_i                7332.811514048214     All      -0.0001986434007861408     -0.0001346134241551067     -0.0013063655735893094     -3.744042571684081e-05    
Lambda        AB|PS|PS_r                6054.087811463002     All      0.00010232736335117655     -5.1011696469762515e-05    0.0002858039102046009      -3.719346062635464e-05    
Lambda        AB|PS|PS_z                8427.189685699099     All      0.0002294366351048441      -7.212518026826412e-05     0.00010972670304715114     -9.333200555558584e-05    
Lambda        AB|PS|PS_g                4767.2531030003765    All      -0.00044005711463830643    0.00019660035088647922     -0.00010827694780133853    0.00020254837904755776    
MWEBV         All|All|All               All                   All      -0.687617451855588         -4.07316287898416          0.045758856019295635       -1.1007415191706609       
Redshift      All|All|All               All                   All      5.281935327421137          0.2895706911894891         0.4144522119391869         -1.6076823072299606       
