#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7332.811514048214     All      0.6642154418853735         -0.2144827463363086       0.15660159835508503       -0.2792324981260702        
Zeropoint     AB|PS|PS_r                6054.087811463002     All      1.194643008001849          0.09315335921886714       -0.266351602377761        -0.37067746524714507       
Zeropoint     AB|PS|PS_z                8427.189685699099     All      0.2789858517827299         -0.0682597584656719       0.0926326769895841        -0.10897554837160546       
Zeropoint     AB|PS|PS_g                4767.2531030003765    All      -1.1392992759095895        1.1884545033430172        0.01520143899508453       0.7589043571319001         
Check         All|All|All               All                   All      0.9985450257603633         0.9988653577599038        -0.0019158880380073483    1.884538707930261e-05      
Lambda        AB|PS|PS_i                7332.811514048214     All      -0.00042170094335720074    1.4159384618617567e-05    -0.002677091712317013     2.2507740517390083e-05     
Lambda        AB|PS|PS_r                6054.087811463002     All      -0.00015873722670545134    -2.975287435392752e-05    -0.0004309819391215881    2.2781702505493892e-05     
Lambda        AB|PS|PS_z                8427.189685699099     All      0.0002872784352333493      -7.100217419225563e-05    6.574953318572612e-05     -0.00011376968188246269    
Lambda        AB|PS|PS_g                4767.2531030003765    All      -0.00035438761685100615    6.159739580923815e-05     -0.0002227374084456122    0.00012556025658084542     
MWEBV         All|All|All               All                   All      -0.7137836406609517        -4.042947235042504        -0.01827940403649882      -1.0852338347669555        
Redshift      All|All|All               All                   All      5.937276155065994          0.34555377466052306       3.9069468571983705        -1.6470588472212684        
