#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3244.019649923064    All      -0.935191035704736         0.08016838397182369       -0.3041158931954239        0.3171646717618198        
Zeropoint     AB|SDSS|SDSS_i            5140.484629447738    All      0.9916228441400908         0.2774750543840909        -0.6486148221054642        -0.26156613041838717      
Zeropoint     AB|SDSS|SDSS_z            6111.607720540677    All      0.18418434649460771        0.034148751560714175      -0.03833231941405286       -0.05058212465590189      
Zeropoint     AB|SDSS|SDSS_r            4238.963904340689    All      0.7538938158892337         0.6064063782149631        0.981685436833649          -0.004233398315329191     
Check         All|All|All               All                  All      0.9945099708191961         0.9981985681315919        -0.00937759788129211       0.0007830183722015386     
Lambda        AB|SDSS|SDSS_g            3244.019649923064    All      -0.0021204160959383492     0.00018896767479037574    -0.0003155420959900615     0.0007381610760840673     
Lambda        AB|SDSS|SDSS_i            5140.484629447738    All      0.00033425147311394286     8.175915561248067e-05     -0.0010503251012402924     -0.0001291162398603851    
Lambda        AB|SDSS|SDSS_z            6111.607720540677    All      -5.2570283015600653e-05    -9.823000531976262e-06    -2.5755804977848905e-05    1.2774832964709804e-05    
Lambda        AB|SDSS|SDSS_r            4238.963904340689    All      -7.739355012625826e-05     5.771645330900114e-05     -0.001729151379416785      -3.315431125239093e-05    
MWEBV         All|All|All               All                  All      -0.7755728584658002        -2.441061159924729        -0.2554708364227864        -0.5539048228172152       
Redshift      All|All|All               All                  All      3.640688110814691          -0.48744476517779134      2.622739723973686          -1.227627861175273        
