#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3244.019649923064    All      -0.9237220868485478       0.0840598235372525        0.044214046167079246      0.3302407930653714         
Zeropoint     AB|SDSS|SDSS_i            5140.484629447738    All      1.0352573000755179        0.3000629701709556        0.03551166870128242       -0.23789225774999562       
Zeropoint     AB|SDSS|SDSS_z            6111.607720540677    All      0.15815098575601022       0.034590181342508686      0.12132854297419726       -0.03483348339610309       
Zeropoint     AB|SDSS|SDSS_r            4238.963904340689    All      0.7202392614310626        0.5791464231366561        -0.2326684918837696       -0.056341505434033545      
Check         All|All|All               All                  All      0.9899254604140428        0.9978593981873729        -0.031614234041210665     0.001173546485239152       
Lambda        AB|SDSS|SDSS_g            3244.019649923064    All      -0.0011285198542707604    0.00014167373254630723    0.00427217065117847       0.0006043911941460971      
Lambda        AB|SDSS|SDSS_i            5140.484629447738    All      0.00015227737561261223    3.643488108040415e-05     -0.0003806722482951099    -5.4721365651022197e-05    
Lambda        AB|SDSS|SDSS_z            6111.607720540677    All      -7.889963335306783e-05    -1.420593251366228e-05    -7.152931084206495e-05    1.7880842102294023e-05     
Lambda        AB|SDSS|SDSS_r            4238.963904340689    All      -0.00025977670644852      -8.354691380508698e-05    -0.0020025212116126846    -3.195948317508301e-05     
MWEBV         All|All|All               All                  All      -0.9139805313377452       -2.4483346390862692       -0.6352284008400044       -0.5281369376754413        
Redshift      All|All|All               All                  All      2.924228894307549         0.11416359648936947       -11.71852479488713        -1.4382746562598427        
