#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7198.22502242281      All      0.11975211614815685       0.009655123775509367       0.1543898041167724        -0.02897250462822465      
Zeropoint     AB|SDSS|SDSS_i            6054.440464611013     All      1.1795402941710056        0.09132064409165253        0.4746433186521015        -0.33328779004039577      
Zeropoint     AB|SDSS|SDSS_g            3820.7922505932147    All      -1.1598706101861893       0.5003184628980861         0.010696892443284867      0.5412555528824122        
Zeropoint     AB|SDSS|SDSS_r            4992.633271081873     All      0.8600826007976965        0.39796113702088576        -0.631588116272841        -0.1787130409466417       
Check         All|All|All               All                   All      0.9995044009306694        0.9992553677861338         0.008141898939317826      0.00028221726715010886    
Lambda        AB|SDSS|SDSS_z            7198.22502242281      All      -3.34447368369613e-05     -3.184463256033131e-06     -5.538033719857063e-05    7.385396542255373e-06     
Lambda        AB|SDSS|SDSS_i            6054.440464611013     All      -0.0002365550376968219    -2.9629100000060807e-05    -0.000350880985071546     5.174437874330922e-05     
Lambda        AB|SDSS|SDSS_g            3820.7922505932147    All      -0.0015828694299014814    0.00032919876590688896     -0.002599527712351981     0.0005068185339466284     
Lambda        AB|SDSS|SDSS_r            4992.633271081873     All      -0.0001290909952974062    -7.586040361652949e-05     -0.0013272559470808203    -4.189038210722987e-05    
MWEBV         All|All|All               All                   All      -0.5399633138698263       -3.0697406512999237        0.20899678587105175       -0.8147051393373822       
Redshift      All|All|All               All                   All      5.813594601513462         1.4527471333501296         9.942921439569584         -0.9767645703395111       
