#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7198.22502242281      All      0.13511406348178504       0.012787401920633101       0.1969599415244114         -0.031056400512152305      
Zeropoint     AB|SDSS|SDSS_i            6054.440464611013     All      1.1576377656184285        0.08396143141737866        0.31506740418897794        -0.3356716937547752        
Zeropoint     AB|SDSS|SDSS_g            3820.7922505932147    All      -1.0644514727631447       0.5108858014301276         0.10669351908424009        0.5179004189927731         
Zeropoint     AB|SDSS|SDSS_r            4992.633271081873     All      0.7705735863822283        0.39119774855951306        -0.6144699702956261        -0.15099616408899544       
Check         All|All|All               All                   All      0.998873942719297         0.9988323833276525         0.004250894502003333       0.00017616063685013672     
Lambda        AB|SDSS|SDSS_z            7198.22502242281      All      -3.211697876821653e-05    -3.1491554186027157e-06    -4.875688604342668e-05     7.259977186209888e-06      
Lambda        AB|SDSS|SDSS_i            6054.440464611013     All      -2.603612837986449e-05    -1.0429968542321175e-05    -0.00016348075504983272    -2.211955571427936e-06     
Lambda        AB|SDSS|SDSS_g            3820.7922505932147    All      -0.0014717485898365398    0.0005302500038825026      -0.0012386195282846333     0.0005968429049980612      
Lambda        AB|SDSS|SDSS_r            4992.633271081873     All      -9.931686836899068e-05    -3.232081743753088e-05     -0.0013668711462467768     -3.9174363551905094e-05    
MWEBV         All|All|All               All                   All      -0.5508166879551624       -3.078453825031069         0.10898369006536669        -0.8184711307937952        
Redshift      All|All|All               All                   All      5.0012001831165955        0.7660046681916555         6.6069263764235675         -1.084705733340362         
