#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.612190632658    All      -0.322067224194292         0.12560972837345474       -0.42365860302188485       0.12691717392630245        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4671.57857909358     All      -0.6417745368166118        0.6194167361546654        0.6007773631472733         0.4376214240138286         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4338.793462111778    All      -0.45964036685007154       0.26619862164860564       -0.022070981031770007      0.23544471143235332        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.581056413192    All      0.33593581966958924        0.07031538738351273       0.19837639233483673        -0.0776686861681446        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7472.789926468611    All      0.376189883740368          -0.04547993270094253      0.2635276806566656         -0.12559170169099262       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5437.30883043135     All      0.6790972177664976         0.06766341623007932       -0.6290842763024511        -0.22723724670679285       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6158.166410136445    All      1.0302060952663568         -0.10657687925341719      0.01440340071167478        -0.369644856228754         
Check         All|All|All                           All                  All      0.9979468885818363         0.9971470778359581        0.0022709764943443737      -0.00015918142219967235    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.612190632658    All      -8.833763258685816e-05     2.5012589015623026e-05    -0.00018690202843239228    2.8581317168483205e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4671.57857909358     All      -1.89176154025051e-05      -0.0001341419639583357    -0.0009221960290139151     -7.86857343748329e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4338.793462111778    All      -0.00011437808536996168    3.705376536854883e-05     -0.00020663981069686839    4.0104950056364675e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.581056413192    All      2.393913003908296e-05      5.432142360121268e-06     3.1391355310202414e-05     -4.627482736633212e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7472.789926468611    All      -8.620557488470598e-05     1.5526524470192265e-05    -1.006338991242965e-05     3.2688408774233026e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5437.30883043135     All      2.181811832652924e-05      -9.127393815754249e-05    -0.0013370592350738291     -9.65046161854027e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6158.166410136445    All      -0.00021592883906933213    2.2291468276822704e-05    -3.793610351654182e-05     7.590327725224385e-05      
MWEBV         All|All|All                           All                  All      -0.8897034501482302        -4.055285873919345        0.04442313961564235        -1.0291519392976458        
Redshift      All|All|All                           All                  All      3.9041033144421293         0.4838267944235142        0.6980560001211061         -1.0829455530951217        
