#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6896.852168250837     All      0.45774694567866747        -0.008775958150586405      0.10270333341211857       -0.14737867985400444      
Zeropoint     AB|PS|PS_r                4954.6942938909       All      0.29908010913347227        0.4558988197254976         0.5000584669593855        0.07339632591708833       
Zeropoint     AB|PS|PS_i                6001.207861247126     All      1.175336740530854          0.0025087396801737327      -0.6411443436647513       -0.4106399921605053       
Zeropoint     AB|PS|PS_g                3901.5426407007603    All      -0.9325283695321006        0.5361761252645536         -0.04409070523292424      0.4764378072246722        
Check         All|All|All               All                   All      0.999635425810893          0.9858077265196385         -0.08247324852617144      -0.00818453887274917      
Lambda        AB|PS|PS_z                6896.852168250837     All      -0.0003237426380486706     5.144768698084468e-06      -8.122714363476982e-05    0.00010350465409406894    
Lambda        AB|PS|PS_r                4954.6942938909       All      -1.0011275110887992e-05    -0.0001124616622161398     -0.0008824041405748363    -7.27491056560275e-05     
Lambda        AB|PS|PS_i                6001.207861247126     All      -0.0002402865033017906     -6.4450473972643005e-06    4.902935882724902e-05     7.835781044425388e-05     
Lambda        AB|PS|PS_g                3901.5426407007603    All      -0.000995904385838845      0.0003067546848721203      -0.0017819770486304778    0.00034479746418520843    
MWEBV         All|All|All               All                   All      -0.501473328682136         -3.0385361526709787        0.07297492079869072       -0.8231482931073036       
Redshift      All|All|All               All                   All      3.344441882683794          0.40199345970641787        -3.3590497820348117       -1.1083512192560734       
