#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7335.158901471953    All      0.6240688805656556         -0.19289098373693747     0.7196130328489758        -0.23399768039162328      
Zeropoint     AB|PS|PS_r                6056.025852494551    All      1.424023195532464          -0.027174304242283398    -0.7904402458235094       -0.5079764864666346       
Zeropoint     AB|PS|PS_z                8429.887406627528    All      0.14889899821552596        -0.03285164985360467     -0.03715958431498301      -0.06086042707501085      
Zeropoint     AB|PS|PS_g                4768.779201135903    All      -1.1983818702575009        1.2525920134857316       0.103459541621298         0.8029797527509285        
Check         All|All|All               All                  All      0.9986092040561446         0.999675075652906        -0.004527255668218544     0.0001451588176597518     
Lambda        AB|PS|PS_i                7335.158901471953    All      -0.00030452273130873427    9.580463496076372e-05    -0.0018234810753689464    4.902620812506589e-05     
Lambda        AB|PS|PS_r                6056.025852494551    All      -0.00032486537301220703    5.888773064971471e-05    -0.001772219335176284     4.591500154487648e-05     
Lambda        AB|PS|PS_z                8429.887406627528    All      0.00024857475072072657     -4.70250240546773e-05    -7.227446046061391e-05    -9.951184881384625e-05    
Lambda        AB|PS|PS_g                4768.779201135903    All      -0.0004546800329987752     9.212121156051605e-05    -0.0007029788451983404    0.00014674043738342627    
MWEBV         All|All|All               All                  All      -0.7505248659018928        -4.025783627057855       0.047579251239771025      -1.0647362878619262       
Redshift      All|All|All               All                  All      6.945884519000325          0.03484131969280213      14.376710611553833        -1.6095875718321329       
