#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7335.158901471953    All      0.6144386992150491         -0.21245794362068082       0.5560486883093615        -0.2445335415431099        
Zeropoint     AB|PS|PS_r                6056.025852494551    All      1.4095971568405339         0.027666286910132953       -0.5346495676815092       -0.4739993031605107        
Zeropoint     AB|PS|PS_z                8429.887406627528    All      0.20246991133342385        -0.035983828771435356      -0.06986949194825048      -0.08079018257386629       
Zeropoint     AB|PS|PS_g                4768.779201135903    All      -1.2267627369472514        1.2194857611124377         0.04944497543970553       0.7990301171644719         
Check         All|All|All               All                  All      0.9997430304417554         0.9987102756304544         0.0009746041193073665     -0.0002929101130149103     
Lambda        AB|PS|PS_i                7335.158901471953    All      -0.00021872478560069789    9.672050327483567e-05      -0.0011589063563388128    5.10342404094841e-05       
Lambda        AB|PS|PS_r                6056.025852494551    All      -0.0002295775836263636     8.638689294454611e-05      -0.0012983270682652114    4.498165088552956e-05      
Lambda        AB|PS|PS_z                8429.887406627528    All      0.00027854295385125146     -4.5272371737766264e-05    -0.000117073342193485     -0.00011070175031580624    
Lambda        AB|PS|PS_g                4768.779201135903    All      -0.00043806301814683466    5.321905098447848e-06      -0.0003718092917655919    0.00012783291539850047     
MWEBV         All|All|All               All                  All      -0.7456989750269001        -4.02977494351795          0.02399384352251318       -1.0686608507910311        
Redshift      All|All|All               All                  All      6.568663119228884          0.37316326737535377        10.720310715279656        -1.539679897022872         
