#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4355.906417946772    All      -0.5045715609767681        0.5575778974819201        -0.3751340348852919       0.32923651325062          
Zeropoint     AB|SDSS|SDSS_r            5691.867518989973    All      0.6858515695548271         0.19118985794648324       -1.8393200361316075       -0.24320799887894923      
Zeropoint     AB|SDSS|SDSS_u            3312.608241381955    All      -0.1957029216448912        0.16182689376478265       0.4214182548751404        0.13526518447152056       
Zeropoint     AB|SDSS|SDSS_i            6902.384203899375    All      0.8661238611471724         0.08829216557355579       1.6104531896921206        -0.18149824383902152      
Zeropoint     AB|SDSS|SDSS_z            8206.35944498904     All      0.14178850248238575        0.0017181631159601807     0.19333836832745294       -0.036997714301486816     
Check         All|All|All               All                  All      0.993489450562726          1.000604977882702         0.010755741877814529      0.0027977407026829673     
Lambda        AB|SDSS|SDSS_g            4355.906417946772    All      -0.0003178156204205017     8.185389049300761e-05     -0.0017517954383830638    5.201092373127999e-05     
Lambda        AB|SDSS|SDSS_r            5691.867518989973    All      -0.00010795354574262878    -3.135602070071994e-05    0.00025023181719174863    3.611703061797343e-05     
Lambda        AB|SDSS|SDSS_u            3312.608241381955    All      -0.00013500093857395567    0.00011246343828056787    0.00028283275367749883    9.322881567046935e-05     
Lambda        AB|SDSS|SDSS_i            6902.384203899375    All      -0.0005750228955325358     -7.223273159641879e-05    -0.0012307376530507458    0.00010885312881699179    
Lambda        AB|SDSS|SDSS_z            8206.35944498904     All      -3.817401053290759e-06     1.832659460135099e-06     1.5466963589219413e-05    2.5306301384849897e-06    
MWEBV         All|All|All               All                  All      -0.8986610357866387        -3.539317674546183        0.5960222485325721        -0.8335510067461179       
Redshift      All|All|All               All                  All      6.6413354304142596         1.0139553800225798        2.8378293184486085        -1.7063835289134268       
