#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                       4666.606919570316     All      -0.39568773995189255       0.6266697462459447         1.3226678240443759         0.3920400580103964         
Zeropoint     AB|PS|PS_z                       8249.274970331255     All      0.17565789136470114        -0.05163049994285629       -0.13166067174302742       -0.07991071769913752       
Zeropoint     AB|PS|PS_i                       7178.0012959298465    All      0.36781832916629537        -0.06009344611381806       0.21331483306671148        -0.1298656818078091        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5929.165194450331     All      0.5864811499530264         0.0005094131580563044      -0.11085604935152249       -0.19581726891079107       
Zeropoint     AB|PS|PS_r                       5926.273990965259     All      0.6325627726980743         0.005663961631263703       -0.09203619452454578       -0.20830871977741805       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7194.902343744074     All      0.26827818270758236        -0.022694080267893213      0.2734498219025677         -0.08257642911232047       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5235.113850740629     All      0.06955667490779883        0.13119496230489247        -0.37581056638200927       0.0033069185025271517      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4177.4485241446755    All      -0.21288450764705144       0.15487430725675821        0.078810582378712          0.12330809924745709        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4497.858497085933     All      -0.4935626333381678        0.21141194895015758        -1.1784319116294386        0.17704541055214734        
Check         All|All|All                      All                   All      0.9982201198603664         0.9959063132225054         -0.0005523322381768558     -0.0007783309949482564     
Lambda        AB|PS|PS_g                       4666.606919570316     All      -3.9364191934353676e-05    -3.994216880311978e-05     -0.00045074520593660453    -2.03029544241306e-05      
Lambda        AB|PS|PS_z                       8249.274970331255     All      0.00010126902366086513     -1.5557749602632137e-05    0.00014412819067693614     -3.162254434552346e-05     
Lambda        AB|PS|PS_i                       7178.0012959298465    All      -0.0001573975526282449     -1.0578619459505775e-05    -0.000422451554358905      2.897168411126031e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5929.165194450331     All      -8.762321173603158e-05     -4.992753353167008e-06     -0.00020245173874587036    1.788096748360923e-05      
Lambda        AB|PS|PS_r                       5926.273990965259     All      -7.916691332755754e-05     -1.4497228027441324e-05    -0.00026156437045104483    9.392627540170382e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7194.902343744074     All      -9.369988460900673e-05     1.1384787907145138e-05     -9.383573396993785e-05     3.004207718640729e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5235.113850740629     All      6.233289475340361e-05      4.911369312178277e-05      -0.00015454186924325727    -1.1202422709429021e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4177.4485241446755    All      -0.00014555261828297486    8.596499905477217e-05      -7.497075473000164e-05     7.206730421489798e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4497.858497085933     All      -0.00024581004445127616    2.5469017957152844e-05     -0.001087471320830465      3.9835664968943096e-05     
MWEBV         All|All|All                      All                   All      -0.7280823292755825        -3.9034141567110936        -0.004361659298902402      -1.034504682332072         
Redshift      All|All|All                      All                   All      5.69340957428477           0.08201304631949569        2.851715547247576          -1.700557491202722         
