#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                       4666.606919570316     All      -0.5182585367610468        0.8256998661524406         1.3993457579419832         0.5002178409614134        
Zeropoint     AB|PS|PS_z                       8249.274970331255     All      0.2732513862647687         -0.1095780741549035        -0.5470538537057035        -0.14911265093724874      
Zeropoint     AB|PS|PS_i                       7178.0012959298465    All      0.5175034773679684         -0.08193137884111579       0.33435323809341           -0.18033500410107073      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5929.165194450331     All      0.22197692520868018        -0.02455989327385666       -0.053164178172249166      -0.08267762569776384      
Zeropoint     AB|PS|PS_r                       5926.273990965259     All      0.5770749592960176         0.024746178133838725       -0.8889574524678867        -0.2195817433714265       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7194.902343744074     All      0.3410402313660379         -0.0016638829100301677     0.7440096406971408         -0.07842827149855368      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5235.113850740629     All      0.08791960654348871        0.14177903565624206        0.19700820127837027        0.026335359181723153      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4177.4485241446755    All      -0.17918447105648222       0.16026442038148403        0.22396420534773753        0.12056416533244504       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4497.858497085933     All      -0.32904191823237805       0.07988728385344146        -1.2255645757148992        0.07851037629083985       
Check         All|All|All                      All                   All      0.9922816599970545         1.0146435549975408         0.18394098329790332        0.01549244616035797       
Lambda        AB|PS|PS_g                       4666.606919570316     All      -7.488551466197887e-05     2.6528897483225484e-05     -0.0001647166984741364     2.568346073428263e-05     
Lambda        AB|PS|PS_z                       8249.274970331255     All      0.00011383918288912204     -1.6425796721507733e-05    0.00017819656539143198     -3.447949516351909e-05    
Lambda        AB|PS|PS_i                       7178.0012959298465    All      -0.0001803391108736771     -5.060456433601725e-06     -0.000454622118298778      3.68063271117729e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5929.165194450331     All      3.4799731388916665e-05     -4.4896674482528346e-05    -0.00010324545824308285    -3.056711193835419e-05    
Lambda        AB|PS|PS_r                       5926.273990965259     All      -7.606626248491563e-05     2.9432705061779885e-06     -0.0003538200114319608     9.94664215795276e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7194.902343744074     All      -7.666747244441e-05        -1.5137268432984187e-06    -0.00019069355471686633    1.5970269903876516e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5235.113850740629     All      5.5777620392424755e-05     7.133992268207707e-05      -7.646642431181951e-05     1.6568085208250937e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4177.4485241446755    All      -0.00015314309724064323    8.631585346789326e-05      -0.0001123798815894597     7.298466023803925e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4497.858497085933     All      -0.0001967725812177894     1.5195399646906291e-05     -0.0010080385051934636     2.4060816173677904e-05    
MWEBV         All|All|All                      All                   All      -0.6846025433258625        -3.9171549668116867        -0.02417300123491728       -1.0540274021677551       
Redshift      All|All|All                      All                   All      4.868614107832459          -0.16389002715548884       2.375569987849646          -1.5332413832744451       
