#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5392.538058346609    All      0.2759295901379967         0.20651352692122593        0.2898803711163009         -0.009675065919816789      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6400.937292147898    All      0.568764504744074          -0.0838164311937728        -0.269650073094424         -0.22460032441426156       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7863.92771824582     All      0.18434347365603193        -0.0350011251906146        0.06743425075959597        -0.06843847117022211       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6554.977275393352    All      0.48668957808684044        -0.050223278661221116      0.059902546424396574       -0.17221700582668378       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7914.678870788882    All      0.18019058679903868        -0.033292895063841144      0.08903111403150421        -0.065565543726568         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4377.195543499881    All      -0.6580115999414814        0.4076580835700838         -0.6041526627051291        0.3201631168472191         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4392.119015985859    All      -0.39376467659482794       0.3769344981582101         0.5989800774513276         0.2777718063074495         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5395.208391250056    All      0.34223739298181727        0.21106292132921922        -0.24146877853922777       -0.053503483489404646      
Check         All|All|All                                      All                  All      0.9863788498694894         0.9998352998692894         -0.010043154555655631      0.003935028607711777       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5392.538058346609    All      3.642755416784147e-05      4.92507744383238e-05       0.0001701285329879472      1.1768999768674623e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6400.937292147898    All      -0.00017085119355581807    2.2944247072290754e-05     4.4899751101352214e-05     6.512922036775052e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7863.92771824582     All      1.2369238965131342e-05     -2.8442793350676463e-06    9.302023992674418e-06      -4.5404368121181085e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6554.977275393352    All      -0.00013021622984485276    1.0367580358286921e-05     -8.29981243324098e-05      4.208894696078161e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7914.678870788882    All      4.0170724021428386e-05     -6.470800762233857e-06     4.3457872548566495e-05     -1.3253353825572845e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4377.195543499881    All      -0.00028743476519457907    4.515773202298411e-05      -0.0012707120043749672     5.1630277725795654e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4392.119015985859    All      -4.3255699906930086e-05    3.828711997325611e-05      -1.9742770859963743e-05    2.56801499258538e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5395.208391250056    All      3.8164497275061795e-05     5.3397642923472196e-05     6.546571526212786e-06      5.254080113192686e-06      
MWEBV         All|All|All                                      All                  All      -0.8411436091215805        -4.089165646173054         0.06231715287126488        -1.0552067058984074        
Redshift      All|All|All                                      All                  All      2.638663165386227          -0.20153312461932416       -6.868785702762958         -1.2316677300599599        
