#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5392.538058346609    All      0.27685296415102173        0.19929542160221914        0.28153689354690714       -0.012699344668689362      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6400.937292147898    All      0.5985174429616696         -0.08935529646736384       -0.2563910379804694       -0.23550433603659865       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7863.92771824582     All      0.2013430149470902         -0.038237262472495814      0.08331803632876732       -0.0743210770171156        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6554.977275393352    All      0.5057928393265837         -0.052927856214424196      0.09926764264821905       -0.1775638529310104        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7914.678870788882    All      0.2037724727167956         -0.03863196583555606       0.09665301050759738       -0.07464592055791884       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4377.195543499881    All      -0.6929741030943533        0.4162244057521747         -0.6572948180184228       0.3319703969960925         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4392.119015985859    All      -0.4291079758675669        0.39968987077414475        0.621095316369158         0.297683356672406          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5395.208391250056    All      0.3330965402495256         0.20058089699990234        -0.26751369237559425      -0.05510261208634518       
Check         All|All|All                                      All                  All      0.9972931953907667         0.996638214138601          0.0006713510261624478     -0.00018338962917961027    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5392.538058346609    All      5.492541531915356e-05      3.2143801103731556e-05     0.00012770434605563485    -1.7218628031921903e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6400.937292147898    All      -0.00018774295522151535    2.5593874569756408e-05     1.7601081902313473e-05    7.027627948269991e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7863.92771824582     All      1.1245980647945321e-05     -1.4216991372254548e-06    2.0824879509218793e-05    -3.196961333031857e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6554.977275393352    All      -0.00013911453472759686    1.231380398060572e-05      -8.090815168679432e-05    4.571463254954781e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7914.678870788882    All      3.540081425987061e-05      -5.27896071220283e-06      4.046430531641805e-05     -1.1445004932809174e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4377.195543499881    All      -0.0002770168779415061     3.4491998066260544e-05     -0.0012263917490296194    4.6740458107722726e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4392.119015985859    All      -5.3172120923123204e-05    3.388597786469415e-05      -4.116923451623329e-05    2.6520493048564626e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5395.208391250056    All      7.160668898854901e-05      3.350270464499918e-05      4.328183424952427e-06     -1.2218574336915751e-05    
MWEBV         All|All|All                                      All                  All      -0.8465258761454368        -4.087906370344552         0.064125091045468         -1.0529626569139694        
Redshift      All|All|All                                      All                  All      2.6853656872816076         0.007158090308045928       -6.209224733639752        -1.1494695066717289        
