#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5269.896988891435     All      0.6098459183532186         0.24222789004992862        -0.14695186164974955       -0.12630307275221683       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4313.999065575288     All      -0.486710477416547         0.28577438786641096        -0.09691926437422338       0.24729867298491512        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6100.291606825324     All      1.105888841953306          -0.048403732231605545      -0.04711906113716439       -0.3780937737982746        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7458.540580214554     All      0.34808983522423764        -0.05186627373783281       0.20715539718258597        -0.12103446890816164       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3525.5041530611124    All      -0.2845800314125384        0.10109942338782929        -0.03761213023149642       0.12395003027969143        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4712.639851584663     All      -0.29844859248636285       0.469218982433528          0.1225594539733997         0.25552385020008034        
Check         All|All|All                              All                   All      0.9940854942153138         0.9980506777682585         0.0011125337633519083      0.0013412380060338625      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5269.896988891435     All      0.0001737069087771594      7.271860468503358e-05      -0.000882044282174897      -7.225679828993053e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4313.999065575288     All      -0.00026886068477207276    8.17446286350778e-05       -0.0005312568394591901     9.049613237825457e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6100.291606825324     All      -0.0002051364056651946     1.602799868846834e-05      -0.0006459688163501104     4.321390114452698e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7458.540580214554     All      -9.731898212149621e-05     1.5342889896804896e-05     -0.0003076010880142789     2.2970854384477167e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3525.5041530611124    All      -0.0005569402946962559     0.00014513450158972556     -0.00019372045295997325    0.00022004400463533066     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4712.639851584663     All      -9.904068175872078e-05     -0.00010264688956551647    -0.0008468018481321572     -3.8963537785309855e-05    
MWEBV         All|All|All                              All                   All      -1.0430946523585747        -3.9434101058844817        0.009098841630430034       -0.9443221212451265        
Redshift      All|All|All                              All                   All      6.304031977810111          0.06033854385556481        11.064503020656364         -1.540018410464047         
