#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5269.896988891435     All      0.6498575542193032         0.22943542191882216        -0.048718451449158984      -0.13911940070000517      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4313.999065575288     All      -0.4907583350974861        0.2925255933769577         -0.17953195881676987       0.24712965801841902       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6100.291606825324     All      1.1467263377417762         -0.04235105241718884       0.0692217595840594         -0.3842325762527521       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7458.540580214554     All      0.30184178501238823        -0.04052568493086994       0.3901883702762676         -0.09410803362065456      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3525.5041530611124    All      -0.3058548787026946        0.09957457928164715        -0.055407839900567524      0.12958911528272443       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4712.639851584663     All      -0.3084765533847934        0.4609842622155469         -0.1696987120139548        0.2430658280307585        
Check         All|All|All                              All                   All      0.9933359097884935         0.9996431194449151         0.006053167679875848       0.0023245907584901193     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5269.896988891435     All      0.00027666118673121695     0.0001221896961375952      -0.0009361837781787517     -9.209402873098072e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4313.999065575288     All      -0.00033804256281551326    0.00014330453660080437     -0.0003271230618868538     0.00014219258629896372    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6100.291606825324     All      -0.00013919024002384526    -3.8230748814443235e-06    -0.001396127984831076      -1.82092406447741e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7458.540580214554     All      -9.520508481005973e-05     1.240413358751439e-05      -0.000408084149072952      1.684094135979794e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3525.5041530611124    All      -0.0008114446848644931     0.00024937887777675625     -0.00017202904549369527    0.00033786826821127465    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4712.639851584663     All      -0.0002579453570152235     7.253428644867192e-05      -0.0011254596993476374     5.742399500106485e-05     
MWEBV         All|All|All                              All                   All      -1.0496343542165465        -3.9396425723168704        0.025564763240448762       -0.9402299171128281       
Redshift      All|All|All                              All                   All      6.198352819262767          -1.2643537099469526        12.234957511216237         -1.8848590717176206       
