#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F606W       3468.804453351569    All      -0.6558023216078943       0.21031175448396056       0.018931809890655373      0.28296668861461716        
Zeropoint     VEGAHST|ACSWF|F850LP      5218.561336171547    All      2.86183530810269          0.31385925551390415       0.6268801620889645        -0.8019848437728331        
Zeropoint     VEGAHST|ACSWF|F775W       4442.965510528335    All      -1.234919213881288        0.4829299699389722        -0.6425437360000187       0.5308862188886833         
Check         All|All|All               All                  All      0.9711137726135075        1.007100979936837         0.0032682359796011307     0.011868063730467338       
Lambda        VEGAHST|ACSWF|F606W       3468.804453351569    All      -0.0014778486119541106    0.0004809647735329899     3.76531037979998e-05      0.0006397302477874353      
Lambda        VEGAHST|ACSWF|F850LP      5218.561336171547    All      0.0008574173006398498     0.00011751509878459333    -0.0032985371960087178    -0.00038820905462815994    
Lambda        VEGAHST|ACSWF|F775W       4442.965510528335    All      -0.0011381553303355788    5.027961763989102e-05     -0.002637244953955413     0.0002694242310369962      
MWEBV         All|All|All               All                  All      -0.13977779379765454      -1.8534816822587175       0.027398020744298483      -0.5569870878238091        
Redshift      All|All|All               All                  All      2.081784501306457         -0.2034036173622411       10.137869018626645        -0.2919544179533706        
