#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5126.178796844612     All      1.811130100056393         0.4232631310596702        0.5337132805147804        -0.42825675881635117       
Zeropoint     AB|MEGACAMPSF|r           4193.443245046041     All      -1.1377561891587693       0.43591597856256215       -1.4095201864109952       0.4496963850759039         
Zeropoint     AB|MEGACAMPSF|g           3285.5582698351095    All      -0.33398260923644546      0.1260652135218976        0.5550471133843382        0.17462191442736072        
Zeropoint     AB|MEGACAMPSF|z           5910.514573716942     All      0.6522010691617295        0.015833187628899736      0.34483610976123735       -0.19189750309300985       
Check         All|All|All               All                   All      0.9915923708229079        1.0010775107730296        0.024076317249360768      0.00416403759390363        
Lambda        AB|MEGACAMPSF|i           5126.178796844612     All      0.00038785819040635755    -1.722502845984329e-05    -0.001980985779157366     -0.00022035122821197395    
Lambda        AB|MEGACAMPSF|r           4193.443245046041     All      -0.0007672299106158062    0.00010045525598999225    -0.001812233734858194     0.00020176193645935695     
Lambda        AB|MEGACAMPSF|g           3285.5582698351095    All      -0.0005596121687366549    0.00024089202464083523    0.0012463032377714933     0.00031636734102677026     
Lambda        AB|MEGACAMPSF|z           5910.514573716942     All      -0.000147844716754972     -4.304174525992679e-06    -9.122874689094907e-05    4.2684756972286414e-05     
MWEBV         All|All|All               All                   All      -0.3294166520197064       -2.3345464210375866       0.24457654814095675       -0.6422224045350388        
Redshift      All|All|All               All                   All      9.370535735530398         0.7343442443154657        14.21349297538274         -2.1788087796701943        
