#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6084.143188079337    All      3.126505707239462          -0.700034408378869         0.9625560824650048        -1.2034755479871744      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5080.699928615973    All      -2.1290199160466763        1.7031443354305509         -0.9634326309733487       1.205268397730905        
Check         All|All|All                            All                  All      0.9974857911927855         1.003109927051682          -0.000876548508343955     0.001792849743730729     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6084.143188079337    All      -0.000915056293372643      0.0001352948117272031      -0.0012893044095949003    0.0002845981762167247    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5080.699928615973    All      -0.00027809703523234096    -0.00013617213109771265    -0.0024839628732273395    -6.46182441359991e-05    
MWEBV         All|All|All                            All                  All      -0.4759644081231702        -2.878066453654604         -0.019187640981865872     -0.7832999193309281      
Redshift      All|All|All                            All                  All      5.613077389199925          -0.30748403558060744       1.795142381142334         -1.8484126770566884      
