#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6084.143188079337    All      3.0941916411808092        -0.723339838628867        0.6553009852898372         -1.2142525227442895       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5080.699928615973    All      -2.096798849690905        1.7267334862282269        -0.6553582641326763        1.2162046429097575        
Check         All|All|All                            All                  All      0.9973927914899041        1.00339364759936          -5.7278842839125765e-05    0.0019521201654679743     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6084.143188079337    All      -0.0007098881094334552    0.00011770647916320048    -0.0008717949912108001     0.00023067057811100198    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5080.699928615973    All      -0.0003052423113274898    -9.900403572913627e-05    -0.0024660994189222955     -4.287209928143357e-05    
MWEBV         All|All|All                            All                  All      -0.47622482699747426      -2.8777528040413003       -0.01977541237018332       -0.7831391558757463       
Redshift      All|All|All                            All                  All      5.199220642996825         -0.44189824305131964      0.6238845826528481         -1.809656904959187        
