#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          7106.636406958953    All      0.7418135344812155        -0.1544929939298001       0.18013102884440857        -0.2839181034069484       
Zeropoint     AB|DECam|DECam_z          8327.932664554191    All      0.49340266099154795       -0.2355387342447557       -0.25732064047706854       -0.24892323224158375      
Zeropoint     AB|DECam|DECam_r          5849.684812037057    All      0.5814072776780225        0.5699447090659504        0.22872139369290007        0.006473049616890927      
Zeropoint     AB|DECam|DECam_g          4401.322679847468    All      -0.8201166973875715       0.8185584469185159        -0.15465718807379839       0.5268687653224681        
Check         All|All|All               All                  All      0.9965067757632149        0.9984714278099105        -0.0031254060135582906     0.0005004792908267497     
Lambda        AB|DECam|DECam_i          7106.636406958953    All      -0.0004129663390098137    5.191459209253484e-05     -0.00031208330501027897    0.00013750016883255385    
Lambda        AB|DECam|DECam_z          8327.932664554191    All      0.00020032179418474726    -7.608030928135971e-05    6.467767127929396e-05      -8.71469910426201e-05     
Lambda        AB|DECam|DECam_r          5849.684812037057    All      1.9485099032423992e-05    -0.0001897154105780148    -0.0007084887030589315     -9.976008531905941e-05    
Lambda        AB|DECam|DECam_g          4401.322679847468    All      -0.0007217947707466984    0.0007328044359481417     -9.117039795950308e-05     0.00046974230038253687    
MWEBV         All|All|All               All                  All      -0.5295792457438093       -3.743647507915071        -0.06234836870122514       -1.049710094033658        
Redshift      All|All|All               All                  All      5.308633478517557         -0.3570022500230863       4.396898905237767          -1.6492705467501854       
