#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          6086.916717867401     All      1.2033994881602916         0.06043572188332291       0.2769153167768157         -0.359943442305715        
Zeropoint     AB|DECam|DECam_g          3769.7840534600523    All      -0.5991623403733345        0.42214048535971216       0.17596005505707835        0.34052421930809984       
Zeropoint     AB|DECam|DECam_z          7132.971163616998     All      0.5430280142086343         -0.04417879483966658      0.22689320536976032        -0.18114737456437907      
Zeropoint     AB|DECam|DECam_r          5010.3230611005765    All      -0.15331701934548675       0.5617117340952049        -0.6761823746265438        0.20273347495663036       
Check         All|All|All               All                   All      0.9939481426501047         1.0001091464985734        0.003586202577110509       0.002166877394636113      
Lambda        AB|DECam|DECam_i          6086.916717867401     All      -0.00022135993535907586    -6.490595848258258e-05    -0.0006183708031492375     2.3367158581448766e-05    
Lambda        AB|DECam|DECam_g          3769.7840534600523    All      -0.0009232861861251221     0.0005060128559625424     -0.00044624907425623307    0.0004456556739135377     
Lambda        AB|DECam|DECam_z          7132.971163616998     All      -0.00024033376870875265    -2.898714605298657e-05    -0.0005439053390052196     4.457055088340423e-05     
Lambda        AB|DECam|DECam_r          5010.3230611005765    All      -0.00022859679769879343    6.2833263074351025e-06    -0.001485468017011008      1.0218568624013167e-05    
MWEBV         All|All|All               All                   All      -0.470588009824513         -2.924365778839544        0.060840854004018396       -0.7965610983767037       
Redshift      All|All|All               All                   All      6.115476237479558          0.0240760008352936        4.498429553785255          -1.7834252077445225       
