#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          6086.916717867401     All      1.183137282282784          0.06565871536814427        0.19949657506066198       -0.3550969173066218       
Zeropoint     AB|DECam|DECam_g          3769.7840534600523    All      -0.5991436337279177        0.43069311809098565        0.1634825446527216        0.34274718580987823       
Zeropoint     AB|DECam|DECam_z          7132.971163616998     All      0.5523122867070711         -0.04055720118039119       0.2622489978269273        -0.18141412872481216      
Zeropoint     AB|DECam|DECam_r          5010.3230611005765    All      -0.14182233440348269       0.543919558735162          -0.6229243475010281       0.19557044219250938       
Check         All|All|All               All                   All      0.9944836008584547         0.9997141910139007         0.0023037700392828375     0.0018065819709536524     
Lambda        AB|DECam|DECam_i          6086.916717867401     All      -0.00010649462604043561    -3.909304265636416e-05     -0.000375143536310275     5.2139801008351065e-06    
Lambda        AB|DECam|DECam_g          3769.7840534600523    All      -0.0009461569991250922     0.0005765109094777444      -0.0002657404388671291    0.0004841242568332378     
Lambda        AB|DECam|DECam_z          7132.971163616998     All      -0.00022418164318707348    -2.3157242903520938e-05    -0.0004680837228329727    4.459183395942517e-05     
Lambda        AB|DECam|DECam_r          5010.3230611005765    All      -0.00019235815208017945    1.4979770230400263e-05     -0.0014319924244310521    3.6335375125490494e-06    
MWEBV         All|All|All               All                   All      -0.4674495901112792        -2.9266445603441937        0.052834190410694475      -0.7986829596568891       
Redshift      All|All|All               All                   All      6.056454779159879          -0.31906102959879945       4.1134546892365185        -1.8931506567860834       
