#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3305.7272442014682    All      -0.35751740845219204       0.10247916375885069       0.011745290423702615      0.15036015537429642        
Zeropoint     AB|MEGACAMPSF|r           4217.380730439326     All      -1.0102174543661988        0.4845472079249902        -0.5656254384381245       0.461652761311129          
Zeropoint     AB|MEGACAMPSF|z           5940.178350698713     All      0.815933252675301          -0.057691715350216555     -0.48556558938588745      -0.30623695562585806       
Zeropoint     AB|MEGACAMPSF|i           5157.341023198776     All      1.540507127425372          0.47157211973676283       1.0459168536118548        -0.301512833467031         
Check         All|All|All               All                   All      0.9887055172822824         1.0009067760703871        0.006471116211545391      0.0042631275925362755      
Lambda        AB|MEGACAMPSF|g           3305.7272442014682    All      -0.0009026243294153092     0.0002423091835029834     -9.725836696678736e-05    0.00036860231812503027     
Lambda        AB|MEGACAMPSF|r           4217.380730439326     All      -0.0006377576769271151     0.00010081616087728197    -0.0016287825503106122    0.000167892712837734       
Lambda        AB|MEGACAMPSF|z           5940.178350698713     All      -0.00018841427877009414    9.887800548366935e-06     4.719564409115303e-05     6.669963601268698e-05      
Lambda        AB|MEGACAMPSF|i           5157.341023198776     All      0.0004969725287816026      3.473949096567582e-05     -0.0007800306999692684    -0.00018537369502010312    
MWEBV         All|All|All               All                   All      -0.3259298552663834        -2.3692644337707236       0.05843139531469352       -0.6629737711225497        
Redshift      All|All|All               All                   All      6.054278805592077          0.12785093086034038       3.5923551798487634        -1.7701222198998225        
