#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3305.7272442014682    All      -0.3047050809121485        0.08880382848097668        0.006503622173748003       0.12846902463548165       
Zeropoint     AB|MEGACAMPSF|r           4217.380730439326     All      -1.0795597518648767        0.4653186911941276         -0.8865071916676848        0.46365698951157386       
Zeropoint     AB|MEGACAMPSF|z           5940.178350698713     All      0.8836464050611137         -0.04105281988895371       -0.32687153765676435       -0.315791734726073        
Zeropoint     AB|MEGACAMPSF|i           5157.341023198776     All      1.4894596703685843         0.48698852284552174        1.2062291125348623         -0.2727093677869011       
Check         All|All|All               All                   All      0.9888412426526727         1.0000582226316723         -0.0006459946158388075     0.0036249116340813514     
Lambda        AB|MEGACAMPSF|g           3305.7272442014682    All      -0.0007334909038461464     0.0002101589814341186      -2.3211365335201688e-05    0.0003063419961659096     
Lambda        AB|MEGACAMPSF|r           4217.380730439326     All      -0.0005839517875126116     2.4783847586318954e-05     -0.0018226634253083944     0.00011694812567807186    
Lambda        AB|MEGACAMPSF|z           5940.178350698713     All      -0.00023855967100428437    1.1779094732135109e-05     6.067580034067284e-05      8.42512541964468e-05      
Lambda        AB|MEGACAMPSF|i           5157.341023198776     All      0.00031239532736557663     -2.3501746269589254e-05    -0.001142652152680677      -0.000160404045131081     
MWEBV         All|All|All               All                   All      -0.3295925244870852        -2.3725256700945607        0.031050415663430586       -0.6640648985868358       
Redshift      All|All|All               All                   All      6.22850110221208           0.5328438116755763         4.377593568083393          -1.6599110657032832       
