#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4768.931008745743     All      -0.22879424041064805       0.4578329777582546        0.20437211985509968        0.23277726338405583       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6173.157873797276     All      1.043877596808162          -0.0552805262667988       -0.05422753076640795       -0.3604518875537325       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7547.630749040414     All      0.3168570942333735         -0.03416903620152567      0.1597183054760172         -0.1072132646855651       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5332.844425777503     All      0.6669263128417955         0.18418732606155785       -0.1728398283570165        -0.1649570173502114       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4365.528570702101     All      -0.490221453511568         0.3241620901958342        -0.0851013282412221        0.26147383118513184       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3567.6153082951096    All      -0.31456684986779704       0.12141878387588179       -0.05209854138026506       0.1396899457897663        
Check         All|All|All                              All                   All      0.9940784600933179         0.998151615423204         -0.00017680341379471692    0.0013188707694449797     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4768.931008745743     All      -1.0888267114923342e-05    -5.736997960422173e-05    -0.00031247858067181867    -2.908510685385588e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6173.157873797276     All      -0.00021898657263142026    -1.781669136141453e-05    -0.0005484111360191209     4.105457838286194e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7547.630749040414     All      -6.623663052481458e-05     2.3605956802651458e-06    -0.00011624385673921763    1.7156943919155342e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5332.844425777503     All      0.0001125146956174564      7.895021751607925e-06     -0.0012465905977565746     -8.97076826574916e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4365.528570702101     All      -0.00026883294133393093    8.144782811231377e-05     -0.0005586487152784011     8.916804412153216e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3567.6153082951096    All      -0.0002843790930673539     0.00010269808030651331    8.611249646668354e-05      0.0001299265750455384     
MWEBV         All|All|All                              All                   All      -1.08887097247483          -3.989447493300524        -0.01284803436408381       -0.9453865477308058       
Redshift      All|All|All                              All                   All      4.50106651252459           0.7593099250536639        3.7372549397831496         -1.0520366973031383       
