#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4768.931008745743     All      -0.13943973226100664      0.425042099967915         0.3252388016310337        0.19838421760663624        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6173.157873797276     All      0.9879493499020834        -0.040076359827834196     0.33884068955205016       -0.3197408909645885        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7547.630749040414     All      0.2648725246557418        -0.026604942811242482     0.18390579234009996       -0.08673692961445947       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5332.844425777503     All      0.6273434875830423        0.14652935574537285       -0.5389709931434339       -0.1806687810743713        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4365.528570702101     All      -0.4626317184566361       0.3197836802827536        -0.2433396761759299       0.24399930394243888        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3567.6153082951096    All      -0.37533200956643153      0.14355356511923656       -0.1891384817163999       0.16057772074609816        
Check         All|All|All                              All                   All      0.9027619018567931        0.9682273984762013        -0.12346386751257987      0.015814640641754002       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4768.931008745743     All      -5.260435835419499e-06    0.00015886785662359588    4.317016583751997e-05     5.538847074226567e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6173.157873797276     All      0.0003340146796290288     -1.966520698144511e-05    -6.673828038273648e-06    -0.00011550299708524998    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7547.630749040414     All      -4.456760251810917e-05    3.802352769105414e-06     -0.0002496207496495585    4.616258171083082e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5332.844425777503     All      0.00017723795075455797    7.307669324546534e-05     -0.0017825269352657923    -0.00011347473864511602    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4365.528570702101     All      -0.0002974039219922709    0.00020813753257172378    -0.0004999602850743105    0.00014236055228300135     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3567.6153082951096    All      -0.000661443755118664     0.00024188562854106       -0.0010086541716857285    0.0002492324958106773      
MWEBV         All|All|All                              All                   All      -1.1247445840358083       -3.9865214232181145       -0.34910247914972103      -0.9477537064579211        
Redshift      All|All|All                              All                   All      3.3482247394971068        -1.2748225134473046       3.749102306034624         -1.3385733671067324        
