#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6294.167301206784     All      -0.0308999671684132        -0.04417224499384531      -2.5550553353694343        -0.11834360220555201       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3629.922716358333     All      -0.06015873284963438       0.028697534065713626      -0.18136689522231658       0.020849837872928545       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8160.222652910884     All      0.0670214525386105         -0.024106989622740826     -0.1498052465139496        -0.036368651769955185      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3625.4681284741678    All      -0.32527258012070204       0.1639652119438395        0.10400088599504392        0.16400192620386403        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5336.631633352238     All      -0.2048579732109346        0.06925668838846377       -1.9925003381189645        0.0003720245202280814      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5345.994906078643     All      0.8172190087967495         0.45578886113739614       1.9332430985724138         -0.03145792936642758       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4331.547713691732     All      -0.3440191560732885        0.3514711039057872        1.0588106353135867         0.2737939143377971         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6316.930377548132     All      1.0583315975704704         -0.057689062995702756     2.146157206635761          -0.2677515059469296        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4358.743040627173     All      -0.20231879371253075       0.08897974821984178       -0.7896308176196117        0.05964792179755235        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8172.327717585266     All      0.21771682317525276        -0.034554779155904214     0.440964365442513          -0.06249494601483149       
Check         All|All|All                                  All                   All      0.9927616789455797         0.9976360708928489        0.014817559115042178       0.0022489894286742695      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6294.167301206784     All      -6.291171280874144e-06     2.577360527662842e-06     -4.3739112674539996e-05    9.368968638843669e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3629.922716358333     All      -0.00023432362478165416    0.00010487764841596817    -0.0007604657433909031     7.65529206361787e-05       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8160.222652910884     All      4.5722246227554066e-07     -7.716763982881266e-07    -2.2194702124013875e-05    -1.3907404076721721e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3625.4681284741678    All      -0.0007777759689933445     0.000238761877795925      -0.00040844479369448746    0.00031289280457756505     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5336.631633352238     All      -0.00024300826232300359    8.057491282919182e-05     -0.0024710162396362977     -4.86842009054639e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5345.994906078643     All      0.00030373804261121773     0.0001436963919207051     0.0006886192400321282      -2.1400916874954742e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4331.547713691732     All      -0.00022343750608147948    7.300753647678491e-05     0.00019133029854374742     0.00010510009558917192     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6316.930377548132     All      -0.00028045692599896604    2.2281734786807133e-05    -0.0005940493660449048     7.210224678749877e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4358.743040627173     All      -0.00024452761600478003    0.00010712081327329656    -0.0009716717003050798     7.118221704764843e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8172.327717585266     All      -1.8287128944098e-05       3.6292261370681008e-06    -3.5461889937497276e-05    5.556376599260252e-06      
MWEBV         All|All|All                                  All                   All      -1.0394250531985199        -3.9562902911458586       0.05973854300014014        -0.9474531132105276        
Redshift      All|All|All                                  All                   All      7.637879677187469          -2.203165356329251        7.6177483114672215         -2.865607008093065         
