#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6294.167301206784     All      -0.025789811933123796      -0.04487021213339659      -2.4493089141014113       -0.11551652163914207       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3629.922716358333     All      -0.0632156156658823        0.030562059915961726      -0.18653655055727947      0.022222204610910987       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8160.222652910884     All      0.0572127527037703         -0.020890191974931582     -0.13660232237438333      -0.031536632848205993      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3625.4681284741678    All      -0.33603757656146516       0.16002304584681326       0.058473811262852025      0.1641926822642636         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5336.631633352238     All      -0.20318193674856574       0.0674932580094989        -1.9776606127025247       -8.609419615024829e-05     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5345.994906078643     All      0.8301941768267785         0.4694268293404136        1.9434130476921982        -0.03078819542427811       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4331.547713691732     All      -0.34250902820602386       0.3451145589161264        0.9159599285104119        0.2648567092273866         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6316.930377548132     All      1.0711528186543293         -0.06773051814459308      2.2128032194381406        -0.2722245262983378        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4358.743040627173     All      -0.20221943074011783       0.08892337669053063       -0.7793193606796955       0.06005734691124762        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8172.327717585266     All      0.21221013665820745        -0.03353871857507684      0.43452679678783573       -0.06065755181542372       
Check         All|All|All                                  All                   All      0.9978164849879068         0.9945134878913464        0.03574904327614431       0.0005194207922708111      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6294.167301206784     All      2.489014841044123e-07      1.0138529617483804e-07    4.663843011662396e-06     1.6007501780722281e-07     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3629.922716358333     All      -0.0001926586631755686     9.276993318991891e-05     -0.0005741879552719522    6.735011286424431e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8160.222652910884     All      3.944235053933636e-06      -1.485992839189976e-06    -9.208782070912143e-06    -2.1797495234001877e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3625.4681284741678    All      -0.0007113453299094496     0.00020390475085227776    -0.0003124733404295294    0.0002841828120921439      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5336.631633352238     All      -0.00023033734520594234    7.629417208016145e-05     -0.0022638022797547954    -1.1431254202942084e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5345.994906078643     All      0.00026241543577155046     0.00014157880629142447    0.0006217561687376954     -1.1614343440736722e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4331.547713691732     All      -0.00017814441786402166    5.3957428655601e-05       0.0001961136192628768     8.435485744581003e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6316.930377548132     All      -0.0002976983312329937     2.1587026995431523e-05    -0.0006197981786220663    7.634299926944697e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4358.743040627173     All      -0.00022856823580638495    0.00010049844391633543    -0.0008853251117600964    6.767984997120103e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8172.327717585266     All      -1.9326182135781945e-05    3.9941151810536734e-06    -4.081179612036983e-05    5.7749450320341865e-06     
MWEBV         All|All|All                                  All                   All      -1.033629972462661         -3.9568625498084486       0.05332373225011495       -0.94981342867346          
Redshift      All|All|All                                  All                   All      7.357559912282458          -1.9732660192603113       6.301589767823727         -2.7581459717755434        
