#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4181.734219081614     All      -0.19778805665018512       -0.06876659522472295       -1.2562762156975715        -0.014035302972346952      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5152.055706389173     All      0.526516598652651          0.6779391782086641         1.6965884762348837         0.12503426736162615        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6076.478668048135     All      -0.023438113471705616      -0.027059632643844367      -0.6393855825608696        -0.029712489896735472      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      7889.674713302163     All      0.05470054984052984        -0.008661917358132598      0.010803452315766293       -0.0201571316714666        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4207.981069893028     All      -0.08104966876677176       0.0023326068170348435      -0.715669117340112         -0.004776675404491448      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6098.4492531043425    All      0.18667913023129423        -0.05673270597483793       -0.4547432498921644        -0.09958034574637092       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5161.095135376377     All      0.09715683619513393        -0.03033630543907151       -0.1279908480846803        -0.0472403543393507        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5152.063584989437     All      -0.1265105630784326        -0.0263127777049732        -1.5709671985024265        -0.03746733577243422       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6076.473474108005     All      0.9675373464936157         0.06513943284307544        0.4488246305319965         -0.2739117066018426        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    7877.988321619797     All      0.2350407321572684         -0.05549170729510777       0.5460434914327017         -0.07026856062739284       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3504.376042687086     All      -0.33993989779684985       0.15235945898384173        0.017570454144810732       0.16114218534154096        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    7877.9899070698875    All      0.01602890491925694        -0.008532742483513545      -0.03022018792555592       -0.009349124804095         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3500.075523838306     All      -0.060655331481149655      0.001691764754241376       -0.28217131841679066       0.007716490427456257       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4207.988952207507     All      -0.26155308397166954       0.37890948387087064        2.344092338191217          0.31322580396571237        
Check         All|All|All                                  All                   All      0.9927253832729859         0.9964775413535243         -0.013500875568794868      0.0006197192598089707      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4181.734219081614     All      -0.0001567369573517951     -4.6024049308493376e-05    -0.0009873769093343837     -7.99926010928627e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5152.055706389173     All      0.00015096430453930324     0.00010516290773025939     0.0005859872327881128      1.123089709541615e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6076.478668048135     All      5.604087159716533e-06      2.515085798146643e-07      5.899404512825287e-05      8.891223461461804e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      7889.674713302163     All      -2.2726571338767868e-06    -7.522603296556729e-07     -3.894922825752075e-06     3.214307417241301e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4207.981069893028     All      -8.369448902988339e-05     1.2610623888184827e-06     -0.0007486692546768251     -5.736852271017322e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6098.4492531043425    All      -7.014676369734115e-05     2.0762927680231768e-05     0.00016837086811821966     3.7125895866374277e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5161.095135376377     All      3.342653572188966e-05      -1.0464290220094942e-05    -4.5442933556552703e-05    -1.6324595387372093e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5152.063584989437     All      -0.00017805292322014247    -3.935431550979853e-05     -0.0022555942641553583     -5.5478112859589634e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6076.473474108005     All      -0.00026532866076269765    8.516862557215094e-06      -0.00028605190345928737    7.643531353289589e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    7877.988321619797     All      -4.12009798961222e-05      9.85211942331024e-06       -8.123721743693274e-05     1.3004430140251679e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3504.376042687086     All      -0.0005277586567713924     0.000161747348352202       -8.584765578003074e-05     0.00022076380334909782     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    7877.9899070698875    All      4.4727654128736553e-07     -2.666526833054647e-07     -1.3092806280065392e-05    -8.168220472188239e-07     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3500.075523838306     All      -0.00011993871182637911    1.505003500098e-06         -0.000594325256421458      1.3036206904474705e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4207.988952207507     All      -7.044001958505868e-05     0.00010940053431918466     0.0009114718917362187      9.92547892743014e-05       
MWEBV         All|All|All                                  All                   All      -1.0329851233071414        -3.7832220851682585        -0.08981547714550508       -0.899850710824121         
Redshift      All|All|All                                  All                   All      8.25187221867243           0.533117911750125          11.952335882881092         -1.9808743618786955        
