#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4181.734219081614     All      -0.3495739414432091        -0.11438395657599187       -2.157496076038403         -0.019670025260600677      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5152.055706389173     All      0.5150481581184364         0.8063988294566116         2.1691977981868433         0.19170383377517028        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6076.478668048135     All      -0.09572098953288125       -0.01969485917792113       -1.609489295272716         -0.04705990328905603       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      7889.674713302163     All      0.07448431915901277        -0.024602099826864787      0.21417261889154748        -0.022718166188187477      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4207.981069893028     All      -0.08132882610794931       0.0020888019440334915      -0.7539927332521746        -0.006475366906698738      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6098.4492531043425    All      0.3748163098509576         -0.23009841809855658       0.22532635370002674        -0.18698534771746272       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5161.095135376377     All      0.12975918759641608        -0.05744292240237314       0.14701291621608414        -0.054417374748268965      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5152.063584989437     All      -0.1915241436247998        -0.026848726246964105      -2.3647901759126553        -0.051889523362279505      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6076.473474108005     All      0.8791966108551643         0.1373425277115814         0.4409307850824668         -0.22196956533787784       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    7877.988321619797     All      0.22695495236997115        -0.04967647526425978       0.7915379901323809         -0.05478525178700155       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3504.376042687086     All      -0.258449603468496         0.12838704737028195        0.3021157100790277         0.13948746029954553        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    7877.9899070698875    All      0.004374873803629099       -0.0014064751455933333     -0.20350061593065452       -0.010964473397955084      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3500.075523838306     All      -0.08711895734235492       -0.0014811915168166934     -0.3581113805963441        0.011914171558253773       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4207.988952207507     All      -0.14315856738938582       0.4489995524248336         3.1932471402587135         0.3353853348630825         
Check         All|All|All                                  All                   All      0.9977593828445116         0.9975816346520006         0.03616103554414307        0.0015558025006633946      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4181.734219081614     All      -0.0002308258780642426     -7.640953111504029e-05     -0.001424699286835816      -1.3279301416060083e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5152.055706389173     All      0.0001770225901986672      0.00021177061787395725     0.0008787354615406081      5.0532503552558114e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6076.478668048135     All      6.133060162234844e-06      1.2663535121047676e-06     0.0001038428538832287      3.0487831699909627e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      7889.674713302163     All      -3.473681960411648e-06     1.0825697018134808e-06     -9.698267859901502e-06     1.051331910559812e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4207.981069893028     All      -8.473989841813212e-05     1.684769656449897e-06      -0.0007883812036169462     -7.030474534508024e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6098.4492531043425    All      -0.00012106739096300265    7.651898597377322e-05      -6.104672774394895e-05     6.163614828529475e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5161.095135376377     All      5.488926481466893e-05      -2.4448299393443113e-05    5.949068643551705e-05      -2.318805868613883e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5152.063584989437     All      -0.00023698890442910907    -3.31669101890905e-05      -0.0029315214259962464     -6.442880818288836e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6076.473474108005     All      -0.0002124380149434325     -2.0730762910085142e-05    -0.00018789024318802388    5.406068036370947e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    7877.988321619797     All      -3.682855830143031e-05     8.394357914047886e-06      -0.00012752701707026884    9.039646539690998e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3504.376042687086     All      -0.0005910777167050733     0.0002484909890956724      0.00045851821750812717     0.00029393671061868376     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    7877.9899070698875    All      3.3602378790918297e-07     -1.1651398062971244e-07    -1.7506508132989683e-05    -9.286414927552059e-07     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3500.075523838306     All      -0.00024923737853364554    -3.7609003854125507e-06    -0.0010444232204034913     3.3351953404871225e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4207.988952207507     All      -5.596295328950051e-05     0.00016648676291093598     0.0013067151897699402      0.00013077188833840987     
MWEBV         All|All|All                                  All                   All      -0.9885555647848814        -3.7978208282139825        0.14944465962641296        -0.9084010895961833        
Redshift      All|All|All                                  All                   All      8.46072844834345           -0.7277664798550632        14.863864016618649         -2.329689106814905         
