#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6314.355419305564    All      0.5819767169741621         0.026394763246173625       0.5783069637723162        -0.15516413670722515      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5341.569164808373    All      0.17914874794218727        0.37218249843693485        0.6664784866674247        0.09261931699289408       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4290.83347526361     All      -0.5950067364664773        0.2910084233724852         -0.5848236971597556       0.262506290986344         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4416.682573094861    All      -0.35101717116537007       0.40941112769736776        0.5098626256402122        0.2704493415555202        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7823.629842709615    All      0.23976368482726812        -0.036048379905828654      0.2195247426944405        -0.08004468240519819      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5296.222628762787    All      -0.02283818750744873       0.24910974611307424        -0.4949167449220576       0.06649652754599383       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8156.301940212785    All      0.2566769240132527         -0.08220194833423733       -0.005594324414921682     -0.11063364651216101      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6312.031886288832    All      0.7067375688840069         -0.23375361950694895       -0.8953261490280785       -0.3463032152468412       
Check         All|All|All                       All                  All      0.9954415475015809         0.9961026111190208         -0.006488096750419725     -7.420379067346605e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6314.355419305564    All      -0.0001625731746557414     -7.948651639860369e-06     -0.0002185652169443208    4.06127323434883e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5341.569164808373    All      5.181168119200116e-05      6.802198745580581e-05      0.0002231300857741777     1.5237500982041369e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4290.83347526361     All      -0.0004767962648787382     0.00021083011235915614     -0.0005856271897734082    0.00019784868151105455    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4416.682573094861    All      -3.6324472369385692e-06    9.798086033309037e-06      3.75909411110646e-05      6.052277590378977e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7823.629842709615    All      -2.259784331031428e-06     5.220191515186957e-07      6.202886932674208e-06     1.1829312678587916e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5296.222628762787    All      -0.00012235995805072518    0.00010390137757231177     -0.0010973631510626607    2.473048336399102e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8156.301940212785    All      -1.0167900310018814e-06    -2.9725121602746267e-06    -2.339265198074881e-05    -1.680949658187405e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6312.031886288832    All      -0.00019928323207003376    -1.9417385590738606e-05    -0.0004566602942506823    3.8209572041352336e-05    
MWEBV         All|All|All                       All                  All      -0.8161194284500906        -4.085105237125575         0.03102162801373119       -1.0634318715431932       
Redshift      All|All|All                       All                  All      4.610556569152096          -0.9786083192684814        -2.15418183486234         -1.9167061237122862       
