#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6314.355419305564    All      0.5683310231435772         0.02738635443453319        0.5090247059546527        -0.1534880403886829        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5341.569164808373    All      0.22417641477316425        0.3797812864121397         0.7857714029567142        0.08575099473747405        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4290.83347526361     All      -0.6018980225183745        0.27039848215899553        -0.6777627989474899       0.2538902284109329         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4416.682573094861    All      -0.3666041129892852        0.4360732985787763         0.576039459661426         0.287164435681328          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7823.629842709615    All      0.24049070337635908        -0.03560402864666301       0.1933874588889939        -0.08130314337303907       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5296.222628762787    All      -0.008812300437169004      0.21001266981972577        -0.6234994642521974       0.04345457448024226        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8156.301940212785    All      0.2674323632147745         -0.08020821892653629       0.007485431845433155      -0.11290393419494671       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6312.031886288832    All      0.6721474745069623         -0.21212071427791912       -0.7791378880254607       -0.32280458613823115       
Check         All|All|All                       All                  All      0.9952635430700085         0.9957191295530521         -0.008691691917928068     -0.00023947078492264628    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6314.355419305564    All      -0.00016566429241457575    -1.1075700035620705e-05    -0.0002035750586996514    4.126997046811166e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5341.569164808373    All      4.3379492835161786e-05     4.9786802347372204e-05     0.00017831209170190114    1.0044321197189211e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4290.83347526361     All      -0.0004919752034281948     0.00019508795445477304     -0.0006896294324836385    0.00019302408001065454     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4416.682573094861    All      3.32620871643933e-05       -2.2772278652942153e-05    9.10623446215143e-06      -1.7845867001961143e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7823.629842709615    All      -8.644276871848137e-06     1.6440313761056694e-06     2.1530068315066022e-06    3.4473192781336193e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5296.222628762787    All      -0.0001445432528088595     7.711039899544326e-05      -0.0011924069227076852    1.8988242147670972e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8156.301940212785    All      -6.470469643260241e-06     -1.4896082485414092e-06    -2.536202986425402e-05    4.906395124807916e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6312.031886288832    All      -0.0001686391534908595     -3.5285667295229966e-06    -0.0002497776404792447    4.263552117774592e-05      
MWEBV         All|All|All                       All                  All      -0.8233365875000986        -4.081122813696503         0.031488863253215094      -1.0597629485116333        
Redshift      All|All|All                       All                  All      4.944715563291321          -0.6341398990501901        -1.027123718541656        -1.8630525771275954        
