#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3248.94536943043     All      -0.2795782237582487        0.11159770575268624        0.023865506332920866      0.12848387748486811       
Zeropoint     AB|DECam|DECam_r          4318.089757362202    All      -0.7164230980516693        0.5513863764292637         -0.45849097921244586      0.3925069089018984        
Zeropoint     AB|DECam|DECam_i          5245.939715425539    All      0.7617743320014527         0.3363463612581441         0.6106784193447815        -0.11132411312477968      
Zeropoint     AB|DECam|DECam_z          6147.469802956926    All      1.2216134248649837         0.001958207248442534       -0.17116195591988737      -0.4049200018167967       
Check         All|All|All               All                  All      0.9873864350565188         1.0012886506885366         0.004890990545369123      0.004746671445190032      
Lambda        AB|DECam|DECam_g          3248.94536943043     All      -0.0007402588371885411     0.0002736582055301616      -7.318800904043786e-05    0.000327000092990281      
Lambda        AB|DECam|DECam_r          4318.089757362202    All      -0.00034808104519877493    6.312609678936446e-06      -0.0014497209435361878    5.074328521604354e-05     
Lambda        AB|DECam|DECam_i          5245.939715425539    All      0.0002396412539901327      8.294571031348549e-05      -0.0005642592202606535    -7.622119115711947e-05    
Lambda        AB|DECam|DECam_z          6147.469802956926    All      -0.00024523773700496914    -2.7660571699589354e-05    -0.0004904993247168751    4.8983308735885315e-05    
MWEBV         All|All|All               All                  All      -0.35946267601279613       -2.342679192838304         0.05060917734686927       -0.6437404102700283       
Redshift      All|All|All               All                  All      4.0163232663572135         -0.17375519802307338       -2.6173009523752224       -1.4816445260116262       
