#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3724.897856852836     All      -1.2684189378470732        0.48848835551194014        -0.32902857327068435       0.5575994719286416        
Zeropoint     AB|SDSS|SDSS_r            4867.3279654547205    All      1.0127993640801831         0.3125368905390502         0.48324929896967905        -0.20653332885416514      
Zeropoint     AB|SDSS|SDSS_z            7017.563688526708     All      0.13763972618045153        0.010857183333534692       0.17981941513971478        -0.033272730610024726     
Zeropoint     AB|SDSS|SDSS_i            5902.485880401168     All      1.117526306986984          0.18635795644748043        -0.3066829887204303        -0.31699801954208556      
Check         All|All|All               All                   All      0.9995464594005458         0.9982403858320055         0.02735715211827916        0.0007953929223661338     
Lambda        AB|SDSS|SDSS_g            3724.897856852836     All      -0.0016841987597573135     0.0005985878394765663      -0.002110516385355596      0.0006493960437915842     
Lambda        AB|SDSS|SDSS_r            4867.3279654547205    All      -0.00017926424527965474    -8.80589337005813e-05      -0.0005687818930457663     4.3264469810434696e-06    
Lambda        AB|SDSS|SDSS_z            7017.563688526708     All      -1.9251376720564387e-05    -4.6456833580923455e-06    -2.0889037823153324e-05    3.825373023029328e-06     
Lambda        AB|SDSS|SDSS_i            5902.485880401168     All      -8.485077334320469e-05     -1.2363362096014683e-05    -0.00011430235784307667    1.8510745349409936e-05    
MWEBV         All|All|All               All                   All      -0.6052211837682666        -2.959871466114805         0.1048429066997203         -0.7623084052536407       
Redshift      All|All|All               All                   All      3.446020202356095          -0.6085852013637094        3.6403543663715343         -1.1582660767188613       
