#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          3493.6847290917535    All      -1.3644991150216734       0.0865894358319963       -0.3920240462896079       0.45517304772377637        
Zeropoint     AB|DECam|DECam_i          4244.390576242674     All      0.5809317144734303        0.5622553351036785       0.8200318063869085        0.030510742053828886       
Zeropoint     AB|DECam|DECam_z          4973.80151408969      All      1.7745833721085624        0.3494888932614515       -0.42567724819009917      -0.483196176498096         
Check         All|All|All               All                   All      0.9910159715603195        0.9983336641971263       0.00233051190720146       0.0024876132795092487      
Lambda        AB|DECam|DECam_r          3493.6847290917535    All      -0.00187282770267958      7.377332837296571e-05    -0.0014706344528095975    0.0005684443358363618      
Lambda        AB|DECam|DECam_i          4244.390576242674     All      -3.207673360553252e-05    8.523560818662376e-06    -0.0013601238260982757    -4.7471227932009414e-05    
Lambda        AB|DECam|DECam_z          4973.80151408969      All      0.00012222936414783267    6.201380409305365e-06    -0.000547593043393232     -6.223069403368082e-05     
MWEBV         All|All|All               All                   All      -0.22196062634075409      -1.7006157965294477      -0.05517397235606624      -0.4841087962219787        
Redshift      All|All|All               All                   All      7.243324025292704         0.32445868260229105      2.5206380226073457        -2.14121756794567          
