#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|Krisciunas|Bessell12_B 4344.300590482821 All -0.16828650912439555 0.0883233344775407 0.017779018124546297 0.0843796641970681
Zeropoint Linear_AB11_off|Krisciunas|Bessell12_I 7893.053078216195 All 0.05191181244397469 -0.04818836983531938 0.13259576973367793 -0.026688782353674334
Zeropoint Linear_AB11_off|LOSS|LOSS_K2_R 6379.294196170093 All 0.5845719106562364 -0.10446078911033041 0.17087891719246961 -0.216815077560651
Zeropoint Linear_AB11_off|LOSS|LOSS_K2_B 4385.446703250827 All -0.5085233051372309 0.43532563175507377 0.21834210684685917 0.3171862558730698
Zeropoint Linear_AB11_off|Krisciunas|Bessell12_R 6495.280018180939 All 0.16324475439098085 -0.05992865491952237 0.06170645803022268 -0.06994124578513444
Zeropoint Linear_AB11_off|LOSS|LOSS_K2_I 7907.945638525575 All 0.16613639605064087 -0.07226703274333968 0.2240686978810409 -0.06765668312191464
Zeropoint Linear_AB11_off|Krisciunas|Bessell12_V 5434.948596508868 All 0.04515180694725388 0.014289422969289589 -0.10400544850048155 -0.014694179290726472
Zeropoint Linear_AB11_off|LOSS|LOSS_K2_V 5377.347673438055 All 0.2471854599146044 0.21558798389151246 0.0708285789926828 -0.007131583290258758
Check All|All|All All All 0.5813923261420648 0.4686815264849047 0.7921940983010178 -0.0013616313322217244
